dir_name,common_name,alpha_name,first_char,has_theoretical,image_file,struct_file,date_struct_finalized,struct_source
1_3_diaminopropane,"1,3-Diaminopropane",diaminopropane,D,no  ,4233.png,4233.mol,2006-02-23,pubchem sid sdf file
2_3_diphospho_D_glyceric_acid,"2,3-Diphospho-D-glyceric acid",glyceric diphospho D,G,no  ,4387.png,4387.mol,2006-02-23,pubchem sid sdf file
2_deoxyguanosine,2'-Deoxyguanosine,deoxyguanosine,D,no  ,3624.png,3624.mol,2006-10-16,pubchem sid sdf file
ADP,ADP,adp,A,no  ,3310.png,3310.mol,2006-02-23,pubchem sid sdf file
AMP,AMP,amp,A,no  ,3322.png,3322.mol,2006-02-23,pubchem sid sdf file
ATP,ATP,atp,A,no  ,3304.png,3304.mol,2006-02-23,pubchem sid sdf file
D_3_phosphoglyceric_acid,D-(-)-3-Phosphoglyceric acid,phosphoglyceric,P,no  ,3497.png,3497.mol,2006-02-23,pubchem sid sdf file
D_allose,D-Allose,allose,A,no  ,4657.png,4657.mol,2006-02-23,pubchem sid sdf file
D_fructose,D-(-)-Fructose,fructose,F,no  ,3395.png,3395.mol,2006-02-23,pubchem sid sdf file
D_fructose_1_6_bisphosphate,"D-Fructose-1,6-bisphosphate",fructose bisphosphate,F,no  ,7752.png,7752.mol,2006-02-23,pubchem sid sdf file
D_fructose_6_phosphate,D-Fructose-6-phosphate,fructose phosphate,F,no  ,3385.png,3385.mol,2006-02-23,pubchem sid sdf file
D_galactose,D-(+)-Galactose,galactose,G,no  ,4231.png,4231.mol,2006-02-23,pubchem sid sdf file
D_glucose,D-(+)-Glucose,glucose,G,no  ,3565.png,3565.mol,2006-02-23,pubchem sid sdf file
D_glucose_6_phosphate,D-Glucose 6-phosphate,glucose phosphate,G,no  ,4399.png,4399.mol,2006-02-23,pubchem sid sdf file
D_maltose,D-(+)-Maltose,maltose,M,no  ,3508.png,3508.mol,2006-02-23,pubchem sid sdf file
D_mannose,D-(+)-Mannose,mannose,M,no  ,3459.png,3459.mol,2006-02-23,pubchem sid sdf file
D_ornithine,D-Ornithine,ornithine,O,no  ,3798.png,3798.mol,2006-02-23,pubchem sid sdf file
D_psicose,D-Psicose,psicose,P,no  ,8700.png,8700.mol,2006-02-23,pubchem sid sdf file
D_sorbose,D-(+)-Sorbose,sorbose,S,no  ,4026.png,4026.mol,2006-02-23,pubchem sid sdf file
D_tagatose,D-(-)-Tagatose,tagatose d,T,no  ,4053.png,4053.mol,2006-02-23,pubchem sid sdf file
D_threo_isocitric_acid,D-(+)-Threo-isocitric acid,isocitric threo_,I,no  ,3739.png,3739.mol,2006-02-23,pubchem sid sdf file
D_xylose,D-(+)-Xylose,xylose,X,no  ,148884.png,148884.mol,2006-02-23,pubchem sid sdf file
D_xylulose,D-Xylulose,xylulose,X,no  ,3604.png,3604.mol,2006-02-23,pubchem sid sdf file
L_alanine,L-Alanine,alanine,A,no  ,3343.png,3343.mol,2006-02-23,pubchem sid sdf file
L_arginine,L-Arginine,arginine,A,no  ,3362.png,3362.mol,2006-02-23,pubchem sid sdf file
L_asparagine,L-Asparagine,asparagine,A,no  ,3452.png,3452.mol,2006-02-23,pubchem sid sdf file
L_aspartic_acid,L-Aspartic acid,aspartic,A,no  ,3351.png,3351.mol,2006-02-23,pubchem sid sdf file
L_citrulline,L-Citrulline,citrulline,C,no  ,3621.png,3621.mol,2006-02-23,pubchem sid sdf file
L_cystathionine,L-Cystathionine,cystathionine,C,no  ,5347.png,5347.mol,2006-02-23,pubchem sid sdf file
L_cysteine,L-Cysteine,cysteine,C,no  ,3397.png,3397.mol,2006-02-23,pubchem sid sdf file
L_cystine,L-Cystine,cystine,C,no  ,3774.png,3774.mol,2006-02-23,pubchem sid sdf file
L_fucose,L-(-)-Fucose,fucose,F,no  ,4264.png,4264.mol,2006-02-23,pubchem sid sdf file
L_glutamic_acid,L-Glutamic acid,glutamic,G,no  ,3596.png,3596.mol,2006-02-23,pubchem sid sdf file
L_glutamine,L-Glutamine,glutamine,G,no  ,148793.png,148793.mol,2006-02-23,pubchem sid sdf file
L_histidine,L-Histidine,histidine,H,no  ,3435.png,3435.mol,2006-02-23,pubchem sid sdf file
L_homoserine,L-Homoserine,homoserine,H,no  ,3561.png,3561.mol,2006-02-23,pubchem sid sdf file
L_isoleucine,L-Isoleucine,isoleucine,I,no  ,3697.png,3697.mol,2006-02-23,pubchem sid sdf file
L_leucine,L-Leucine,leucine,L,no  ,3423.png,3423.mol,2006-02-23,pubchem sid sdf file
L_lysine,L-Lysine,lysine,L,no  ,3349.png,3349.mol,2006-02-23,pubchem sid sdf file
L_methionine,L-Methionine,methionine,M,no  ,3373.png,3373.mol,2006-02-23,pubchem sid sdf file
L_phenylalanine,L-Phenylalanine,phenylalanine,P,no  ,3379.png,3379.mol,2006-02-23,pubchem sid sdf file
malic_acid,Malic acid,malic,M,no  ,3977.png,3977.mol,2006-02-23,pubchem sid sdf file
L_proline,L-Proline,proline,P,no  ,3448.png,3448.mol,2006-02-23,pubchem sid sdf file
L_serine,L-Serine,serine,S,no  ,3365.png,3365.mol,2006-02-23,pubchem sid sdf file
L_threonine,L-Threonine,threonine,T,no  ,3488.png,3488.mol,2006-02-23,pubchem sid sdf file
L_tryptophan,L-Tryptophan,tryptophan,T,no  ,3378.png,3378.mol,2006-02-23,pubchem sid sdf file
L_tyrosine,L-Tyrosine,tyrosine,T,no  ,3382.png,3382.mol,2006-02-23,pubchem sid sdf file
L_valine,L-Valine,valine,V,no  ,3483.png,3483.mol,2006-02-23,pubchem sid sdf file
NAD,NAD,nad,N,no  ,3305.png,3305.mol,2006-02-23,pubchem sid sdf file
NADH,NADH,nadh,N,no  ,3306.png,3306.mol,2006-02-23,pubchem sid sdf file
NADPH,NADPH,nadph,N,no  ,3307.png,3307.mol,2006-02-23,pubchem sid sdf file
N_acetyl_D_mannosamine,N-Acetyl-D-mannosamine,mannosamine acetyl,M,no  ,3918.png,3918.mol,2006-02-23,pubchem sid sdf file
N_acetylneuraminic_acid,N-Acetylneuraminic acid,acetylneuraminic,A,no  ,3568.png,3568.mol,2006-02-23,pubchem sid sdf file
O_succinyl_L_homoserine,O-Succinyl-L-homoserine,homoserine succinyl O L,H,no  ,4349.png,4349.mol,2006-02-23,pubchem sid sdf file
S_adenosyl_L_methionine,s-(5'-Adenosyl)-L-methionine,adenosyl methionine,A,no  ,3321.png,3321.mol,2006-02-23,pubchem sid sdf file
adenine,Adenine,adenine,A,no  ,3447.png,3447.mol,2006-02-23,pubchem sid sdf file
adenosine,Adenosine,adenosine,A,no  ,3512.png,3512.mol,2006-02-23,pubchem sid sdf file
adonitol,Adonitol,adonitol,A,no  ,841607.png,841607.mol,2006-03-01,pubchem sid sdf file
agmatine,Agmatine,agmatine,A,no  ,3479.png,3479.mol,2006-02-23,pubchem sid sdf file
alpha_ketoglutaric_acid,alpha-Ketoglutaric acid,alphaketoglutaric,A,no  ,3328.png,3328.mol,2006-02-23,pubchem sid sdf file
lactose,Lactose,lactose,L,no  ,3542.png,3542.mol,2006-02-23,pubchem sid sdf file
4_aminobenzoic_acid,4-Aminobenzoic acid,aminobenzoic,A,no  ,3847.png,3847.mol,2006-02-23,pubchem sid sdf file
anthranilic_acid,Anthranilic acid,anthranilic,A,no  ,3408.png,3408.mol,2006-02-23,pubchem sid sdf file
L_arabitol,L-(-) Arabitol,arabitol,A,no  ,3814.png,3814.mol,2006-02-23,pubchem sid sdf file
betaine,Betaine,betaine,B,no  ,3985.png,3985.mol,2006-02-23,pubchem sid sdf file
betaine_aldehyde,Betaine aldehyde,betaine aldehyde,B,no  ,3855.png,3855.mol,2006-02-23,pubchem sid sdf file
cAMP,cyclic AMP,camp,C,no  ,3854.png,3854.mol,2006-02-23,pubchem sid sdf file
cadaverine,Cadaverine,cadaverine,C,no  ,4816.png,4816.mol,2006-02-23,pubchem sid sdf file
L_canavanine,L-Canavanine,canavanine,C,no  ,3602.png,3602.mol,2006-02-23,pubchem sid sdf file
D_carnitine,D-Carnitine,carnitine,C,no  ,3770.png,3770.mol,2006-02-23,pubchem sid sdf file
chorismic_acid,Chorismic acid,chorismic,C,no  ,3550.png,3550.mol,2006-02-23,pubchem sid sdf file
citrate,Citrate,citrate,C,no  ,3458.png,3458.mol,2006-02-23,pubchem sid sdf file
coumarin,Coumarin,coumarin,C,no  ,8144.png,8144.mol,2006-02-23,pubchem sid sdf file
creatine,Creatine,creatine,C,no  ,3594.png,3594.mol,2006-02-23,pubchem sid sdf file
creatine_phosphate,Creatine phosphate,creatine phosphate,C,no  ,5359.png,5359.mol,2006-02-23,pubchem sid sdf file
dehydro_proline,"3,4-Dehydro-d/L-proline",proline dehydro,P,no  ,680495.png,680495.mol,2006-02-23,pubchem sid sdf file
fumaric_acid,Fumaric acid,fumarate,F,no  ,3422.png,3422.mol,2006-02-23,pubchem sid sdf file
gluconic_acid,Gluconic acid,gluconic_acid,G,no  ,153991.png,153991.mol,2006-02-23,pubchem sid sdf file
alpha_D_glucose_1_phosphate,alpha-D-Glucose-1-phosphate,glucose phosphate alpha D,G,no  ,13622.png,13622.mol,2006-02-23,pubchem sid sdf file
alpha_D_glucose_1_6_bisphosphate,"alpha-D-Glucose 1,6-bisphosphate",glucose bisphosphate alpha_D_1_6,G,no  ,3929.png,3929.mol,2006-02-23,pubchem sid sdf file
glycine,Glycine,glycine,G,no  ,3339.png,3339.mol,2006-02-23,pubchem sid sdf file
guanine,Guanine,guanine,G,no  ,149248.png,149248.mol,2006-02-23,pubchem sid sdf file
guanosine,Guanosine,guanosine,G,no  ,6802.png,6802.mol,2011-12-09,pubchem cid sdf file
4_hydroxybenzoic_acid,4-Hydroxy-benzoic acid,benzoic hydroxy,B,no  ,3456.png,3456.mol,2006-02-23,pubchem sid sdf file
trans_3_hydroxycinnamic_acid,trans-3-Hydroxycinnamic acid,cinnamic hydroxy trans 3,C,no  ,583011.png,583011.mol,2006-02-23,pubchem sid sdf file
hypoxanthine,Hypoxanthine,hypoxanthine,H,no  ,149159.png,149159.mol,2006-02-23,pubchem sid sdf file
i_erythritol,i-Erythritol,erythritol,E,no  ,3786.png,3786.mol,2006-03-10,pubchem sid sdf file
imidazole,Imidazole,imidazole,I,no  ,4744.png,4744.mol,2006-02-23,pubchem sid sdf file
indole,Indole,indole,I,no  ,3747.png,3747.mol,2006-02-23,pubchem sid sdf file
inosine,Inosine,inosine,I,no  ,3588.png,3588.mol,2006-10-17,pubchem sid sdf file
D_mannitol,D-Mannitol,mannitol,M,no  ,149173.png,149173.mol,2006-02-23,pubchem sid sdf file
meso_erythritol,meso-Erythritol,erythritol meso,E,no  ,3786.png,3786.mol,2006-02-23,pubchem sid sdf file
methyl_oxobutanoic_acid,3-Methyl-2-oxobutinoic acid,methyloxobutanoic,M,no  ,3441.png,3441.mol,2006-02-23,pubchem sid sdf file
muco_inositol,muco-Inositol,inositol muco,I,no  ,muco_inositol.png,muco_inositol.mol,2006-03-27,bmrb from pubchem sid sdf file
myo_inositol,myo-Inositol,inositol myo,I,no  ,myo_inositol.png,myo_inositol.mol,2006-03-27,bmrb
niacin,Nicotinic acid,niacin,N,no  ,3552.png,3552.mol,2006-02-23,pubchem sid sdf file
nicotine,(+/-) Nicotine,nicotine,N,no  ,4007.png,4007.mol,2006-02-23,pubchem sid sdf file
oxalate,Oxalate,oxalate,O,no  ,3509.png,3509.mol,2006-02-23,pubchem sid sdf file
phosphoenolpyruvic_acid,Phosphoenolpyruvic acid,phosphoenolpyruvic,P,no  ,3374.png,3374.mol,2006-02-23,pubchem sid sdf file
prephenic_acid,Prephenic acid,prephenic,P,no  ,3553.png,3553.mol,2006-02-23,pubchem sid sdf file
putrescine,"Putrescine (1,4 diaminobutane)",putrescine,P,no  ,3434.png,3434.mol,2006-02-23,pubchem sid sdf file
pyridoxal,Pyridoxal,pyridoxal,P,no  ,3549.png,3549.mol,2006-02-23,pubchem sid sdf file
pyridoxal_5_phosphate,Pyridoxal-5-phosphate,pyridoxal phosphate,P,no  ,3320.png,3320.mol,2006-02-23,pubchem sid sdf file
pyruvic_acid,Pyruvic acid,pyruvicacid,P,no  ,1060.png,1060.mol,2008-09-26,pubchem cid sdf file
scyllo_inositol,scyllo-Inositol,inositol scyllo,I,no  ,8409.png,8409.mol,2006-03-27,bmrb from pubchem sid sdf file
shikimic_acid,Shikimic acid,shikimic,S,no  ,3776.png,3776.mol,2006-02-23,pubchem sid sdf file
D_sorbitol,D-Sorbitol,sorbitol,S,no  ,148568.png,148568.mol,2006-02-23,pubchem sid sdf file
spermidine,Spermidine,spermidine,S,no  ,3609.png,3609.mol,2006-02-23,pubchem sid sdf file
spermine,Spermine,spermine,S,no  ,4012.png,4012.mol,2006-02-23,pubchem sid sdf file
sucrose,Sucrose,sucrose,S,no  ,3389.png,3389.mol,2006-02-23,pubchem sid sdf file
taurine,Taurine,taurine,T,no  ,3544.png,3544.mol,2006-02-23,pubchem sid sdf file
L_threitol,L-(-)-Threitol,threitol,T,no  ,272831.png,272831.mol,2006-02-23,pubchem sid sdf file
trans_4_hydroxy_L_proline,trans 4 Hydroxy-L-proline,proline hydroxy L trans,P,no  ,148602.png,148602.mol,2006-02-23,pubchem sid sdf file
trans_cinnamic_acid,trans-Cinnamic acid,cinnamic trans,C,no  ,3713.png,3713.mol,2006-02-23,pubchem sid sdf file
D_trehalose,D-Trehalose,trehalose,T,no  ,4320.png,4320.mol,2006-02-23,pubchem sid sdf file
uric_acid,Uric acid,uric,U,no  ,149180.png,149180.mol,2006-11-30,pubchem sid sdf file
xanthine,Xanthine,xanthine,X,no  ,149179.png,149179.mol,2006-02-23,pubchem sid sdf file
xanthosine,Xanthosine,xanthosine,X,no  ,4895.png,4895.mol,2007-01-18,pubchem sid sdf file
xylitol,Xylitol,xylitol,X,no  ,149920.png,149920.mol,2006-02-23,pubchem sid sdf file
pyridoxamine,Pyridoxamine,pyridoxamine,P,no  ,3816.png,3816.mol,2006-02-23,pubchem sid sdf file
pyridoxamine_5_phosphate,Pyridoxamine-5-phosphate,pyridoxamine phosphate,P,no  ,3919.png,3919.mol,2006-02-23,pubchem sid sdf file
homovanillic_acid,Homovanillic acid,homovanillic,H,no  ,7908.png,7908.mol,2006-02-23,pubchem sid sdf file
isonicotinic_acid,Isonicotinic acid,isonicotinic,I,no  ,9649.png,9649.mol,2006-02-23,pubchem sid sdf file
ethacrynic_acid,Ethacrynic acid,ethacrynic,E,no  ,9197.png,9197.mol,2006-02-23,pubchem sid sdf file
cyanuric_acid,Cyanuric acid,cyanuric,C,no  ,8783.png,8783.mol,2006-02-23,pubchem sid sdf file
itaconic_acid,Itaconic acid,itaconic,I,no  ,3773.png,3773.mol,2006-02-23,pubchem sid sdf file
D_cellobiose,D-Cellobiose,cellobiose,C,no  ,3485.png,3485.mol,2006-02-23,pubchem sid sdf file
amygdalin,Amygdalin,amygdalin,A,no  ,10523.png,10523.mol,2006-02-23,pubchem sid sdf file
D_glucuronate,D-Glucuronate,glucuronate,G,no  ,3491.png,3491.mol,2006-02-23,pubchem sid sdf file
gamma_D_galactonolactone,"D-Galactono-1,4-lactone",galactonolactone,G,no  ,6218.png,6218.mol,2006-02-23,pubchem sid sdf file
acetylcarnitine,(+-)-Acetylcarnitine,acetylcarnitine,A,no  ,697490.png,697490.mol,2006-02-23,pubchem sid sdf file
5_acetylamido_2_chloroaniline,5-Acetylamido-2-chloroaniline,acetylamido chloroaniline,A,no  ,681431.png,681431.mol,2006-02-23,pubchem sid sdf file
dihydroxyacetone,Dihydroxyacetone,acetone dihydroxy,A,no  ,3484.png,3484.mol,2006-02-23,pubchem sid sdf file
N_acetyl_L_glutamine,N-Acetyl-L-Glutamine,acetyl glutamine,A,no  ,680315.png,680315.mol,2006-02-23,pubchem sid sdf file
ADA,N-(2-Acetamido)iminodiacetic acid,ada,A,no  ,694467.png,694467.mol,2006-02-23,pubchem sid sdf file
4_aminoantipyrine,4-Aminoantipyrine,aminoantipyrine,A,no  ,149712.png,149712.mol,2006-02-23,pubchem sid sdf file
diethyl_oxalacetate,Diethyl oxalacetate,diethyl oxalacetate,D,no  ,209052.png,209052.mol,2006-02-23,pubchem sid sdf file
4_hydroxycinnamic_acid,4-Hydroxycinnamic acid,cinnamic hydroxy,C,no  ,4069.png,4069.mol,2006-02-23,pubchem sid sdf file
alpha_D_galactose_1_phosphate,alpha-D-Galactose 1-phosphate,galactose phosphate alpha d,G,no  ,3734.png,3734.mol,2006-02-23,pubchem sid sdf file
trigonelline,Trigonelline,trigonelline,T,no  ,4250.png,4250.mol,2006-02-23,pubchem sid sdf file
L_methionine_methylsulfonium_iodide,L-Methionine methylsulfonium iodide,methionine methylsulfonium,M,no  ,3886671.png,3886671.mol,2006-02-23,pubchem sid sdf file
4_2_aminoethyl_morpholine,4-(2-Aminoethyl)morpholine,aminoethyl morpholine,A,no  ,cid_408285.png,cid_408285.mol,2006-03-31,pubchem cid sdf file
creatinine,Creatinine,creatinine,C,no  ,4049.png,4049.mol,2006-02-23,pubchem sid sdf file
N_acetyl_L_alanine,N-Acetyl-L-alanine,acetyl alanine N L,A,no  ,150408.png,150408.mol,2006-02-23,pubchem sid sdf file
uridine,Uridine,uridine,U,no  ,3593.png,3593.mol,2006-02-23,pubchem sid sdf file
beta_alanine,beta-Alanine,alanine beta,A,no  ,3399.png,3399.mol,2006-02-23,pubchem sid sdf file
sarcosine,Sarcosine,sarcosine,S,no  ,3513.png,3513.mol,2006-02-23,pubchem sid sdf file
3_hydroxybutyrate,3-Hydroxybutyrate,butyrate hydroxy,B,no  ,152509.png,152509.mol,2006-02-23,pubchem sid sdf file
L_ornithine,L-Ornithine,ornithine,O,no  ,3377.png,3377.mol,2006-02-23,pubchem sid sdf file
N_acetyl_D_glucosamine_1_phosphate,N-Acetyl-D-glucosamine 1-phosphate,glucosamine phosphate N_acetyl_alpha_,G,no  ,6921.png,6921.mol,2006-02-23,pubchem sid sdf file
D_xylonate_cadmium,D-Xylonate,xylonate,X,no  ,3785.png,3785.mol,2006-02-23,pubchem sid sdf file
L_tartaric_acid,L-Tartaric acid,tartaric,T,no  ,4154.png,4154.mol,2006-02-23,pubchem sid sdf file
acetylcholine,Acetylcholine,acetylcholine,A,no  ,187.png,187.mol,2011-01-21,pubchem sid sdf file
L_selenomethionine,L(+)-Selenomethionine,selenomethionine,S,no  ,682499.png,682499.mol,2006-02-23,pubchem sid sdf file
L_glutathione_oxidized,"L(-)-Glutathione, oxidized",glutathione oxidized,G,no  ,3427.png,3427.mol,2006-02-23,pubchem sid sdf file
1_amino_1_phenylmethyl_phosphonic_acid,(1-Amino-1-phenylmethyl)phosphonic acid,amino phosphonic phenylmethyl,A,no  ,675736.png,675736.mol,2006-02-23,pubchem sid sdf file
L_kynurenine,L-Kynurenine,kynurenine,K,no  ,3622.png,3622.mol,2006-02-23,pubchem sid sdf file
4_hydroxyphenethyl_alcohol,4-Hydroxyphenethyl alcohol,hydroxyphenethyl,H,no  ,8315.png,8315.mol,2006-02-23,pubchem sid sdf file
5_acetylamino_2_nitrobenzoic_acid,5-(Acetylamino)-2-nitrobenzoic acid,acetylamino nitrobenzoic,A,no  ,655125.png,655125.mol,2006-02-23,pubchem sid sdf file
inosine_5_monophosphate,Inosine 5'-monophosphate,inosine monophosphate,I,no  ,151738.png,151738.mol,2006-02-23,pubchem sid sdf file
2_amino_5_ethyl_1_3_4_thiadiazole,"2-Amino-5-ethyl-1,3,4-thiadiazole",amino ethyl thiadiazole,A,no  ,169177.png,169177.mol,2006-02-23,pubchem sid sdf file
indole_3_acetic_acid,Indole-3-acetic acid,indole acetic,I,no  ,4205.png,4205.mol,2006-02-23,pubchem sid sdf file
alpha_naphthoic_acid,alpha-Naphthoic acid,naphthoic alpha_,N,no  ,149851.png,149851.mol,2006-02-23,pubchem sid sdf file
propionic_acid,Propionic acid,propionic,P,no  ,3463.png,3463.mol,2006-02-23,pubchem sid sdf file
cytosine,Cytosine,cytosine,C,no  ,3670.png,3670.mol,2006-10-17,pubchem sid sdf file
L-ascorbate,L-Ascorbate,ascorbate,A,no  ,148575.png,148575.mol,2006-02-23,pubchem sid sdf file
succinic_acid,Succinic acid,succinate,S,no  ,3344.png,3344.mol,2006-02-23,pubchem sid sdf file
glycerol,Glycerol,glycerol,G,no  ,3416.png,3416.mol,2006-02-23,pubchem sid sdf file
L_glutathione_reduced,L-Glutathione reduced,glutathione reduced,G,no  ,3353.png,3353.mol,2006-02-23,pubchem sid sdf file
uracil,Uracil,uracil,U,no  ,3272.png,3272.mol,2006-03-13,pubchem sid sdf file
uridine_5_diphospho_N_acetlyglucosamine,Uridine 5'-diphospho-N-acetlyglucosamine,uridine diphospho acetlyglucosamine,U,no  ,154007.png,154007.mol,2006-02-23,pubchem sid sdf file
D_glucosamine_6_phosphate,D-Glucosamine 6-phosphate,glucosamine phosphate,G,no  ,3645.png,3645.mol,2006-02-23,pubchem sid sdf file
cytidine,Cytidine,cytidine,C,no  ,3758.png,3758.mol,2006-02-23,pubchem sid sdf file
acetic_acid,Acetic acid,acetic,A,no  ,3335.png,3335.mol,2006-02-23,pubchem sid sdf file
DL_alpha_glycerol_phosphate,DL-alpha-Glycerol phosphate,glycerol phosphate alpha,G,no  ,148805.png,148805.mol,2006-02-23,pubchem sid sdf file
L_arginine_L_glutamate,L-Arginine L-Glutamate,arginine glutamate,A,no  ,163138.png,163138.mol,2006-02-23,pubchem sid sdf file
N_alpha_acetyl_DL_ornithine,N(alpha)-Acetyl-DL-ornithine,ornithine alpha acetyl,O,no  ,3726.png,3726.mol,2006-02-23,pubchem sid sdf file
methyl_N_acetyl_alpha_D_glucosaminide,Methyl N-acetyl-alpha-D-glucosaminide,glucosaminide methyl_N_acetyl_alpha_D_,G,no  ,673727.png,673727.mol,2006-02-23,pubchem sid sdf file
6_phosphogluconic_acid,6-Phosphogluconic acid,phosphogluconic ,P,no  ,3638.png,3638.mol,2006-02-23,pubchem sid sdf file
citraconic_acid,Citraconic acid,citraconic,C,no  ,5291.png,5291.mol,2006-02-23,pubchem sid sdf file
homogentisic_acid,Homogentisic acid,homogentisic,H,no  ,3825.png,3825.mol,2006-02-23,pubchem sid sdf file
kanamycin,Kanamycin,kanamycin,K,no  ,4946.png,4946.mol,2006-02-23,pubchem sid sdf file
HEPES,HEPES,hepes,H,no  ,166367.png,166367.mol,2006-02-23,pubchem sid sdf file
