id,bmrbtype,bmrbid,dirname,bottlename,commonname
1,bmse,bmse000001,1_3_diaminopropane,"1,3-Diaminopropane","1,3-Diaminopropane"
2,bmse,bmse000002,2_3_diphospho_D_glyceric_acid,"2,3-diphospho-D-glyceric acid pentasodium salt","2,3-Diphospho-D-glyceric acid"
3,bmse,bmse000003,2_deoxyguanosine,2'-Deoxyguanosine,2'-Deoxyguanosine
4,bmse,bmse000004,ADP,"ADP, monosodium salt",ADP
5,bmse,bmse000005,AMP,"AMP, disodium salt",AMP
6,bmse,bmse000006,ATP,"ATP, disodium salt",ATP
7,bmse,bmse000007,D_3_phosphoglyceric_acid,d-(-)-3-phosphoglyceric acid,D-(-)-3-Phosphoglyceric acid
8,bmse,bmse000008,D_allose,d-allose,D-Allose
9,bmse,bmse000010,D_fructose,D-(-)-Fructose,D-(-)-Fructose
10,bmse,bmse000011,D_fructose_1_6_bisphosphate,"d-fructose-1,6-bisphosphate sodium salt","D-Fructose-1,6-bisphosphate"
11,bmse,bmse000012,D_fructose_6_phosphate,d-fructose-6-phosphate,D-Fructose-6-phosphate
12,bmse,bmse000013,D_galactose,D-(+)-Galactose,D-(+)-Galactose
13,bmse,bmse000015,D_glucose,beta-D(+)Glucose,D-(+)-Glucose
14,bmse,bmse000016,D_glucose_6_phosphate,D-Glucose 6-phosphate sodium salt,D-Glucose 6-phosphate
15,bmse,bmse000017,D_maltose,d-(+)-maltose monohydrate,D-(+)-Maltose
16,bmse,bmse000018,D_mannose,D-(+)-Mannose,D-(+)-Mannose
17,bmse,bmse000019,D_ornithine,D-Ornithine monohydrochloride,D-Ornithine
18,bmse,bmse000020,D_psicose,D-Psicose,D-Psicose
19,bmse,bmse000022,D_sorbose,D-(+)-Sorbose,D-(+)-Sorbose
20,bmse,bmse000023,D_tagatose,D-(-)-Tagatose,D-(-)-Tagatose
21,bmse,bmse000025,D_threo_isocitric_acid,"d-(+)-threo-isocitric acid, monopotassium",D-(+)-Threo-isocitric acid
