id,mol_dir_name,bmrbacc,sub_id,chem_shift,intensity
1,1_3_diaminopropane,bmse000001,1,39.3182,12.5
2,1_3_diaminopropane,bmse000001,2,27.6038,6.62
3,2_3_diphospho_D_glyceric_acid,bmse000002,1,180.6244,6.14
4,2_3_diphospho_D_glyceric_acid,bmse000002,2,77.8926,9.81
5,2_3_diphospho_D_glyceric_acid,bmse000002,3,77.8397,8.95
6,2_3_diphospho_D_glyceric_acid,bmse000002,4,77.8017,8.58
7,2_3_diphospho_D_glyceric_acid,bmse000002,5,77.7593,8.04
8,2_3_diphospho_D_glyceric_acid,bmse000002,6,69.2089,12.5
9,2_deoxyguanosine,bmse000003,1,140.4376,7.32
10,2_deoxyguanosine,bmse000003,2,89.8652,7.61
11,2_deoxyguanosine,bmse000003,3,86.6745,9.57
12,2_deoxyguanosine,bmse000003,4,73.9059,12.5
13,2_deoxyguanosine,bmse000003,5,64.3305,8.45
14,2_deoxyguanosine,bmse000003,6,41.3976,8.86
15,adenine,bmse000060,1,153.1875,0.8
16,adenine,bmse000060,2,151.829,1.02
17,adenine,bmse000060,3,147.5748,11.47
18,adenine,bmse000060,4,146.3944,12.5
19,adenine,bmse000060,5,118.324,0.66
20,adenosine,bmse000061,1,155.2065,8.59
21,adenosine,bmse000061,2,151.091,3.13
22,adenosine,bmse000061,3,143.2708,6.58
23,adenosine,bmse000061,4,91.0332,10.74
24,adenosine,bmse000061,5,88.5401,11.36
25,adenosine,bmse000061,6,76.3929,12.5
26,adenosine,bmse000061,7,73.3525,11.01
27,adenosine,bmse000061,8,64.2162,10.03
28,adenosine,bmse000061,9,133.0864,1.07
29,adonitol,bmse000062,1,74.8925,6.76
30,adonitol,bmse000062,2,74.8008,11.44
31,adonitol,bmse000062,3,65.0705,12.5
32,ADP,bmse000004,1,158.1533,6.68
33,ADP,bmse000004,2,155.4207,12.01
34,ADP,bmse000004,3,151.6456,1.97
35,ADP,bmse000004,4,151.5495,1.81
36,ADP,bmse000004,5,142.8127,2.95
37,ADP,bmse000004,6,142.5832,3.64
38,ADP,bmse000004,7,121.1747,1.72
39,ADP,bmse000004,8,89.778,10.17
40,ADP,bmse000004,9,89.5551,6.01
41,ADP,bmse000004,10,87.4621,3.15
42,ADP,bmse000004,11,87.3746,3.43
43,ADP,bmse000004,12,86.4858,4.81
44,ADP,bmse000004,13,86.3979,5.28
45,ADP,bmse000004,14,77.2288,6.53
46,ADP,bmse000004,15,77.0622,12.5
47,ADP,bmse000004,16,73.4056,6.43
48,ADP,bmse000004,17,72.6057,12.04
49,ADP,bmse000004,18,67.1794,3.82
50,ADP,bmse000004,19,67.1297,3.91
51,ADP,bmse000004,20,66.2518,2.61
52,ADP,bmse000004,21,66.2091,2.71
53,agmatine,bmse000063,1,159.5178,1.15
54,agmatine,bmse000063,2,43.1542,9.26
55,agmatine,bmse000063,3,41.7324,8.53
56,agmatine,bmse000063,4,27.7024,11.07
57,agmatine,bmse000063,5,26.715,12.5
58,D_allose,bmse000008,1,96.1036,10.7
59,D_allose,bmse000008,2,95.5286,1.55
60,D_allose,bmse000008,3,76.2932,11.82
61,D_allose,bmse000008,4,74.3841,1.58
62,D_allose,bmse000008,5,73.9304,11.03
63,D_allose,bmse000008,6,73.8513,12.02
64,D_allose,bmse000008,7,69.7109,1.21
65,D_allose,bmse000008,8,69.5516,1.22
66,D_allose,bmse000008,9,69.4757,12.5
67,D_allose,bmse000008,10,68.7507,2.03
68,D_allose,bmse000008,11,63.8517,10.79
69,D_allose,bmse000008,12,63.3663,1.24
70,D_fructose,bmse000010,1,100.7878,2.8
71,D_fructose,bmse000010,2,83.3844,4
72,D_fructose,bmse000010,3,78.7409,1.35
73,D_fructose,bmse000010,4,78.0833,3.23
74,D_fructose,bmse000010,5,77.1431,3.97
75,D_fructose,bmse000010,6,72.3808,12.5
76,D_fructose,bmse000010,7,71.9017,10.92
77,D_fructose,bmse000010,8,70.2559,10.72
78,D_fructose,bmse000010,9,66.587,11.06
79,D_fructose,bmse000010,10,66.0735,12.1
80,D_fructose,bmse000010,11,65.3682,3.85
81,D_fructose,bmse000010,12,65.074,4.07
82,D_galactose,bmse000013,1,99.1714,10.5
83,D_galactose,bmse000013,2,94.9986,5.59
84,D_galactose,bmse000013,3,77.8681,12.5
85,D_galactose,bmse000013,4,75.5121,11.36
86,D_galactose,bmse000013,5,74.5893,11.5
87,D_galactose,bmse000013,6,73.1956,6.08
88,D_galactose,bmse000013,7,72.0185,5.93
89,D_galactose,bmse000013,8,71.879,5.94
90,D_galactose,bmse000013,9,71.4595,12.5
91,D_galactose,bmse000013,10,71.0589,5.22
92,D_galactose,bmse000013,11,63.8951,5.64
93,D_galactose,bmse000013,12,63.6909,11.96
94,D_glucose,bmse000015,1,98.6177,12.18
95,D_glucose,bmse000015,2,94.8017,7.46
96,D_glucose,bmse000015,3,78.6602,12.5
97,D_glucose,bmse000015,4,78.46,12.38
98,D_glucose,bmse000015,5,76.8429,11.94
99,D_glucose,bmse000015,6,75.4621,6.95
100,D_glucose,bmse000015,7,74.1868,7.96
101,D_glucose,bmse000015,8,74.1521,7.85
102,D_glucose,bmse000015,9,72.3476,7.59
103,D_glucose,bmse000015,10,72.3041,12.25
104,D_glucose,bmse000015,11,63.4496,11.55
105,D_glucose,bmse000015,12,63.2877,6.43
106,D_mannose,bmse000018,1,96.747,10.66
212,ATP,bmse000006,2,155.4997,9.32
107,D_mannose,bmse000018,2,96.3827,5.27
108,D_mannose,bmse000018,3,78.8753,4.9
109,D_mannose,bmse000018,4,75.7486,5.48
110,D_mannose,bmse000018,5,75.1093,11.15
111,D_mannose,bmse000018,6,73.9252,5.51
112,D_mannose,bmse000018,7,73.3921,10.59
113,D_mannose,bmse000018,8,72.9329,10.68
114,D_mannose,bmse000018,9,69.5495,10.82
115,D_mannose,bmse000018,10,69.3058,5.88
116,D_mannose,bmse000018,11,63.666,12.5
117,D_psicose,bmse000020,1,105.9793,2.62
118,D_psicose,bmse000020,2,101.1482,2.31
119,D_psicose,bmse000020,3,85.4184,12.5
120,D_psicose,bmse000020,4,77.3405,2.67
121,D_psicose,bmse000020,5,74.437,5.54
122,D_psicose,bmse000020,6,73.7152,3.61
123,D_psicose,bmse000020,7,73.0555,10.59
124,D_psicose,bmse000020,8,73.0326,11.16
125,D_psicose,bmse000020,9,72.9119,5.49
126,D_psicose,bmse000020,10,71.7174,6.08
127,D_psicose,bmse000020,11,68.562,7.08
128,D_psicose,bmse000020,12,68.1859,7.9
129,D_psicose,bmse000020,13,67.7838,6.98
130,D_psicose,bmse000020,14,66.8844,6.45
131,D_psicose,bmse000020,15,66.6778,4.36
132,D_psicose,bmse000020,16,65.9583,9.93
133,D_psicose,bmse000020,17,65.7568,6.2
134,D_psicose,bmse000020,18,65.5148,3.26
135,D_psicose,bmse000020,19,65.0727,3.8
136,D_psicose,bmse000020,20,64.029,7.13
137,D_psicose,bmse000020,21,60.6736,5.34
138,D_sorbose,bmse000022,1,100.4423,2.8
139,D_sorbose,bmse000022,2,76.5308,8.63
140,D_sorbose,bmse000022,3,73.0506,8.72
141,D_sorbose,bmse000022,4,72.1197,12.5
142,D_sorbose,bmse000022,5,66.1492,9.88
143,D_sorbose,bmse000022,6,64.4696,11
144,D_tagatose,bmse000023,1,100.9098,3.49
145,D_tagatose,bmse000023,2,73.6229,12.5
146,D_tagatose,bmse000023,3,72.484,10.38
147,D_tagatose,bmse000023,4,71.9743,2.2
148,D_tagatose,bmse000023,5,69.0595,10.53
149,D_tagatose,bmse000023,6,66.5918,10.06
150,D_tagatose,bmse000023,7,66.403,1.92
151,D_tagatose,bmse000023,8,66.1917,1.73
152,D_tagatose,bmse000023,9,64.9495,7.98
153,D_tagatose,bmse000023,10,62.8345,1.69
154,D_xylose,bmse000026,1,99.3304,11.78
155,D_xylose,bmse000026,2,94.9405,6.48
156,D_xylose,bmse000026,3,78.526,10.11
157,D_xylose,bmse000026,4,76.7418,12.5
158,D_xylose,bmse000026,5,75.5229,5.77
159,D_xylose,bmse000026,6,74.1661,6.42
160,D_xylose,bmse000026,7,72.1118,6.54
161,D_xylose,bmse000026,8,71.9378,12.28
162,D_xylose,bmse000026,9,67.899,10.25
163,D_xylose,bmse000026,10,63.6456,5.21
164,alpha_ketoglutaric_acid,bmse000064,1,184.1528,2.07
165,alpha_ketoglutaric_acid,bmse000064,2,38.5723,12.5
166,alpha_ketoglutaric_acid,bmse000064,3,33.3219,9.83
167,alpha_lactose,bmse000065,1,105.6382,8.25
168,alpha_lactose,bmse000065,2,98.4725,7.33
169,alpha_lactose,bmse000065,3,94.539,4.05
170,alpha_lactose,bmse000065,4,81.1636,3.89
171,alpha_lactose,bmse000065,5,81.0377,6.84
172,alpha_lactose,bmse000065,6,78.0734,12.5
173,alpha_lactose,bmse000065,7,77.522,7.34
174,alpha_lactose,bmse000065,8,77.0808,7.32
175,alpha_lactose,bmse000065,9,76.5296,7.28
176,alpha_lactose,bmse000065,10,75.2407,11.24
177,alpha_lactose,bmse000065,11,74.1286,4.28
178,alpha_lactose,bmse000065,12,73.8715,4.75
179,alpha_lactose,bmse000065,13,73.6835,9.31
180,alpha_lactose,bmse000065,14,72.8271,3.84
181,alpha_lactose,bmse000065,15,71.272,8.2
182,alpha_lactose,bmse000065,16,63.7524,7.27
183,alpha_lactose,bmse000065,17,62.8108,4.95
184,alpha_lactose,bmse000065,18,62.6765,3.11
185,4_aminobenzoic_acid,bmse000066,1,133.5667,12.5
186,4_aminobenzoic_acid,bmse000066,2,128.9442,1.1
187,4_aminobenzoic_acid,bmse000066,3,117.8119,11.36
188,AMP,bmse000005,1,158.1415,3.52
189,AMP,bmse000005,2,155.4083,9.41
190,AMP,bmse000005,3,151.6344,4.45
191,AMP,bmse000005,4,142.8031,7.78
192,AMP,bmse000005,5,121.1486,2.72
193,AMP,bmse000005,6,89.5563,11.53
194,AMP,bmse000005,7,87.4594,6.04
195,AMP,bmse000005,8,87.3722,6.06
196,AMP,bmse000005,9,77.2299,12.5
197,AMP,bmse000005,10,73.4036,12.24
198,AMP,bmse000005,11,66.25,4.83
199,AMP,bmse000005,12,66.2055,5.13
200,anthranilic_acid,bmse000067,1,150.2702,2.1
201,anthranilic_acid,bmse000067,2,134.7227,10.28
202,anthranilic_acid,bmse000067,3,133.6538,12.5
203,anthranilic_acid,bmse000067,4,123.4956,1.99
204,anthranilic_acid,bmse000067,5,120.6937,11.1
205,anthranilic_acid,bmse000067,6,120.3926,11.42
206,L_arabitol,bmse000068,1,73.609,12.5
207,L_arabitol,bmse000068,2,73.1399,11.93
208,L_arabitol,bmse000068,3,72.9514,12.49
209,L_arabitol,bmse000068,4,65.7296,10.81
210,L_arabitol,bmse000068,5,65.6383,9.86
211,ATP,bmse000006,1,158.2621,4.05
213,ATP,bmse000006,3,151.7848,3.62
214,ATP,bmse000006,4,142.6155,7.12
215,ATP,bmse000006,5,121.2616,2.51
216,ATP,bmse000006,6,89.3634,10.94
217,ATP,bmse000006,7,86.7432,5.75
218,ATP,bmse000006,8,86.6543,5.65
219,ATP,bmse000006,9,76.9481,12.5
220,ATP,bmse000006,10,72.9427,11.75
221,ATP,bmse000006,11,67.8017,4.32
222,ATP,bmse000006,12,67.7473,4.42
223,betaine,bmse000069,1,171.9654,1.21
224,betaine,bmse000069,2,68.893,3.07
