id,bmrbid,peakcount
1,bmse000001,2
2,bmse000002,9
3,bmse000004,21
4,bmse000005,12
5,bmse000006,12
6,bmse000007,5
7,bmse000008,6
8,bmse000010,12
9,bmse000012,17
10,bmse000013,12
11,bmse000015,12
12,bmse000016,15
13,bmse000017,23
14,bmse000018,11
15,bmse000019,5
16,bmse000020,23
17,bmse000022,6
18,bmse000023,12
19,bmse000025,5
20,bmse000026,10
21,bmse000028,2
22,bmse000029,6
23,bmse000030,4
24,bmse000031,4
25,bmse000032,6
26,bmse000033,5
27,bmse000034,3
28,bmse000035,3
29,bmse000036,11
30,bmse000037,5
31,bmse000038,5
32,bmse000039,8
33,bmse000040,4
34,bmse000041,6
35,bmse000042,6
36,bmse000043,6
37,bmse000044,5
38,bmse000045,7
39,bmse000046,4
40,bmse000047,5
41,bmse000048,3
42,bmse000049,4
43,bmse000050,11
44,bmse000051,7
45,bmse000052,5
46,bmse000053,25
47,bmse000054,25
48,bmse000055,25
49,bmse000056,15
50,bmse000057,11
51,bmse000058,8
52,bmse000060,5
53,bmse000061,8
54,bmse000062,3
55,bmse000063,5
56,bmse000064,3
57,bmse000065,19
58,bmse000066,5
59,bmse000067,7
60,bmse000068,5
61,bmse000069,7
62,bmse000070,4
63,bmse000071,14
64,bmse000072,3
65,bmse000073,5
66,bmse000074,9
67,bmse000075,8
68,bmse000076,4
69,bmse000077,6
70,bmse000078,4
71,bmse000079,3
72,bmse000080,4
73,bmse000083,2
74,bmse000084,6
75,bmse000086,8
76,bmse000087,10
77,bmse000089,2
78,bmse000090,5
79,bmse000091,10
80,bmse000093,9
81,bmse000094,5
82,bmse000095,2
83,bmse000096,2
84,bmse000097,8
85,bmse000098,10
86,bmse000099,3
87,bmse000100,2
88,bmse000101,2
89,bmse000102,2
90,bmse000103,4
91,bmse000104,6
92,bmse000105,10
93,bmse000106,1
94,bmse000107,4
95,bmse000109,2
96,bmse000110,8
97,bmse000111,11
98,bmse000112,3
99,bmse000113,1
100,bmse000114,7
101,bmse000115,6
102,bmse000116,7
103,bmse000117,5
104,bmse000119,12
105,bmse000120,2
106,bmse000121,2
107,bmse000123,5
108,bmse000125,7
109,bmse000126,5
110,bmse000127,5
111,bmse000129,3
112,bmse000130,8
113,bmse000131,10
114,bmse000132,9
115,bmse000133,4
116,bmse000134,13
117,bmse000135,1
118,bmse000137,5
119,bmse000138,21
120,bmse000139,18
121,bmse000140,12
122,bmse000141,6
123,bmse000142,7
124,bmse000143,8
125,bmse000144,2
126,bmse000145,7
127,bmse000146,2
128,bmse000147,9
129,bmse000150,7
130,bmse000151,8
131,bmse000152,7
132,bmse000153,6
133,bmse000154,4
134,bmse000155,6
135,bmse000157,5
136,bmse000158,10
137,bmse000159,3
138,bmse000160,3
139,bmse000161,4
140,bmse000166,4
141,bmse000167,2
142,bmse000168,9
143,bmse000169,5
144,bmse000170,10
145,bmse000172,10
146,bmse000173,6
147,bmse000174,9
148,bmse000175,12
149,bmse000176,4
150,bmse000177,10
151,bmse000179,3
152,bmse000182,6
153,bmse000183,2
154,bmse000184,2
155,bmse000185,10
156,bmse000187,4
157,bmse000189,16
158,bmse000190,9
159,bmse000191,2
160,bmse000193,5
161,bmse000194,11
162,bmse000195,7
163,bmse000196,9
164,bmse000198,8
165,bmse000199,5
166,bmse000200,8
167,bmse000201,18
168,bmse000202,9
169,bmse000203,1
170,bmse000205,18
171,bmse000206,8
172,bmse000207,10
173,bmse000208,3
174,bmse000210,14
175,bmse000212,2
176,bmse000213,10
177,bmse000216,12
178,bmse000219,6
179,bmse000220,6
180,bmse000221,18
181,bmse000222,3
182,bmse000223,4
183,bmse000224,1
184,bmse000228,6
185,bmse000230,6
186,bmse000231,16
187,bmse000235,12
188,bmse000237,6
189,bmse000239,5
190,bmse000240,24
191,bmse000241,3
192,bmse000242,2
193,bmse000243,6
194,bmse000244,10
195,bmse000245,2
196,bmse000246,9
197,bmse000248,1
198,bmse000249,5
199,bmse000252,7
200,bmse000253,12
201,bmse000254,8
202,bmse000255,12
203,bmse000256,1
204,bmse000258,2
205,bmse000259,5
206,bmse000261,4
207,bmse000263,28
208,bmse000264,6
209,bmse000265,6
210,bmse000266,11
211,bmse000267,1
212,bmse000269,3
213,bmse000270,12
214,bmse000272,11
215,bmse000273,4
216,bmse000274,11
217,bmse000275,10
218,bmse000276,2
219,bmse000277,11
220,bmse000279,6
221,bmse000280,11
222,bmse000281,6
223,bmse000282,3
224,bmse000284,3
225,bmse000285,7
226,bmse000286,4
227,bmse000287,9
228,bmse000288,8
229,bmse000289,14
230,bmse000290,4
231,bmse000291,5
232,bmse000292,19
233,bmse000293,2
234,bmse000294,1
235,bmse000295,11
236,bmse000297,2
237,bmse000298,3
238,bmse000300,5
239,bmse000302,3
240,bmse000303,2
241,bmse000305,3
242,bmse000306,7
243,bmse000307,6
244,bmse000308,4
245,bmse000309,3
246,bmse000310,6
247,bmse000311,11
248,bmse000312,8
249,bmse000313,19
250,bmse000314,10
251,bmse000315,13
252,bmse000316,8
253,bmse000317,19
254,bmse000318,8
255,bmse000319,6
256,bmse000320,9
257,bmse000321,7
258,bmse000322,9
259,bmse000323,9
260,bmse000324,7
261,bmse000325,4
262,bmse000326,7
263,bmse000327,7
264,bmse000328,7
265,bmse000329,8
266,bmse000330,5
267,bmse000331,9
268,bmse000332,7
269,bmse000333,3
270,bmse000334,7
271,bmse000335,4
272,bmse000336,6
273,bmse000337,9
274,bmse000338,6
275,bmse000339,8
276,bmse000340,4
277,bmse000341,6
278,bmse000342,5
279,bmse000343,8
280,bmse000344,5
281,bmse000345,5
282,bmse000346,6
283,bmse000347,9
284,bmse000349,14
285,bmse000350,7
286,bmse000351,6
287,bmse000352,5
288,bmse000353,8
289,bmse000354,4
290,bmse000355,7
291,bmse000356,6
292,bmse000358,6
293,bmse000360,2
294,bmse000361,4
295,bmse000363,5
296,bmse000364,10
297,bmse000365,10
298,bmse000367,2
299,bmse000368,3
300,bmse000369,6
301,bmse000370,9
302,bmse000371,2
303,bmse000372,6
304,bmse000373,4
305,bmse000375,11
306,bmse000376,6
307,bmse000377,6
308,bmse000378,4
309,bmse000379,2
310,bmse000380,3
311,bmse000381,7
312,bmse000382,7
313,bmse000383,5
314,bmse000384,3
315,bmse000385,3
316,bmse000387,16
317,bmse000388,2
318,bmse000389,5
319,bmse000390,4
320,bmse000391,4
321,bmse000392,3
322,bmse000394,6
323,bmse000395,6
324,bmse000396,7
