id,peak_id,val,bmrbid
1,1,39.324,bmse000001
2,2,27.681,bmse000001
3,1,180.689,bmse000002
4,2,180.647,bmse000002
5,3,77.907,bmse000002
6,4,77.852,bmse000002
7,5,77.811,bmse000002
8,6,77.764,bmse000002
9,7,69.258,bmse000002
10,8,69.215,bmse000002
11,9,69.176,bmse000002
12,1,156.008,bmse000004
13,2,155.844,bmse000004
14,3,152.689,bmse000004
15,4,152.47,bmse000004
16,5,151.156,bmse000004
17,6,143.42,bmse000004
18,7,143.276,bmse000004
19,8,120.924,bmse000004
20,9,90.12,bmse000004
21,10,90.059,bmse000004
22,11,86.774,bmse000004
23,12,86.706,bmse000004
24,13,86.634,bmse000004
25,14,77.355,bmse000004
26,15,77.322,bmse000004
27,16,73.088,bmse000004
28,17,73.024,bmse000004
29,18,67.823,bmse000004
30,19,67.789,bmse000004
31,20,67.145,bmse000004
32,21,67.113,bmse000004
33,1,158.165,bmse000005
34,2,155.434,bmse000005
35,3,151.659,bmse000005
36,4,142.827,bmse000005
37,5,121.167,bmse000005
38,6,89.579,bmse000005
39,7,87.483,bmse000005
40,8,87.391,bmse000005
41,9,77.252,bmse000005
42,10,73.427,bmse000005
43,11,66.273,bmse000005
44,12,66.231,bmse000005
45,1,153.9,bmse000006
46,2,150.896,bmse000006
47,3,149.919,bmse000006
48,4,144.227,bmse000006
49,5,120.829,bmse000006
50,6,90.285,bmse000006
51,7,86.792,bmse000006
52,8,86.727,bmse000006
53,9,77.593,bmse000006
54,10,72.936,bmse000006
55,11,67.974,bmse000006
56,12,67.941,bmse000006
57,1,181.576,bmse000007
58,2,75.683,bmse000007
59,3,75.617,bmse000007
60,4,69.525,bmse000007
61,5,69.479,bmse000007
62,1,96.144,bmse000008
63,2,76.343,bmse000008
64,3,73.971,bmse000008
65,4,73.901,bmse000008
66,5,69.508,bmse000008
67,6,63.888,bmse000008
68,1,104.253,bmse000010
69,2,100.846,bmse000010
70,3,83.42,bmse000010
71,4,78.052,bmse000010
72,5,77.141,bmse000010
73,6,72.411,bmse000010
74,7,71.946,bmse000010
75,8,70.242,bmse000010
76,9,66.59,bmse000010
77,10,66.113,bmse000010
78,11,65.339,bmse000010
79,12,65.123,bmse000010
80,1,107.206,bmse000012
81,2,104.245,bmse000012
82,3,84.478,bmse000012
83,4,83.203,bmse000012
84,5,83.136,bmse000012
85,6,82.708,bmse000012
86,7,82.643,bmse000012
87,8,78.558,bmse000012
88,9,77.878,bmse000012
89,10,77.072,bmse000012
90,11,67.088,bmse000012
91,12,67.052,bmse000012
92,13,66.197,bmse000012
93,14,66.159,bmse000012
94,15,65.597,bmse000012
95,16,65.342,bmse000012
96,17,60.2,bmse000012
97,1,99.205,bmse000013
98,2,95.035,bmse000013
99,3,77.912,bmse000013
100,4,75.536,bmse000013
101,5,74.61,bmse000013
102,6,73.238,bmse000013
103,7,72.05,bmse000013
104,8,71.911,bmse000013
105,9,71.489,bmse000013
106,10,71.086,bmse000013
107,11,63.934,bmse000013
108,12,63.737,bmse000013
109,1,98.664,bmse000015
110,2,94.847,bmse000015
111,3,78.71,bmse000015
112,4,78.493,bmse000015
113,5,76.875,bmse000015
114,6,75.5,bmse000015
115,7,74.224,bmse000015
116,8,74.188,bmse000015
117,9,72.372,bmse000015
118,10,72.329,bmse000015
119,11,63.472,bmse000015
120,12,63.302,bmse000015
121,1,98.793,bmse000016
122,2,94.94,bmse000016
123,3,78.19,bmse000016
124,4,78.12,bmse000016
125,5,77.958,bmse000016
126,6,76.998,bmse000016
127,7,75.044,bmse000016
128,8,74.33,bmse000016
129,9,73.833,bmse000016
130,10,73.763,bmse000016
131,11,71.773,bmse000016
132,12,65.587,bmse000016
133,13,65.542,bmse000016
134,14,65.492,bmse000016
135,15,65.45,bmse000016
136,1,102.339,bmse000017
137,2,102.255,bmse000017
138,3,98.511,bmse000017
139,4,94.633,bmse000017
140,5,79.509,bmse000017
141,6,79.308,bmse000017
142,7,78.976,bmse000017
143,8,77.301,bmse000017
144,9,76.738,bmse000017
145,10,75.997,bmse000017
146,11,75.594,bmse000017
147,12,75.561,bmse000017
148,13,75.429,bmse000017
149,14,75.394,bmse000017
150,15,74.49,bmse000017
151,16,74.396,bmse000017
152,17,74.035,bmse000017
153,18,72.682,bmse000017
154,19,72.059,bmse000017
155,20,72.041,bmse000017
156,21,63.465,bmse000017
157,22,63.317,bmse000017
158,23,63.184,bmse000017
159,1,96.792,bmse000018
160,2,96.421,bmse000018
161,3,78.923,bmse000018
162,4,75.783,bmse000018
163,5,75.146,bmse000018
164,6,73.971,bmse000018
165,7,73.428,bmse000018
166,8,72.966,bmse000018
167,9,69.579,bmse000018
168,10,69.334,bmse000018
169,11,63.7,bmse000018
170,1,176.999,bmse000019
171,2,56.815,bmse000019
172,3,41.581,bmse000019
173,4,30.172,bmse000019
174,5,25.481,bmse000019
175,1,108.426,bmse000020
176,2,106.055,bmse000020
177,3,101.225,bmse000020
178,4,100.484,bmse000020
179,5,85.48,bmse000020
180,6,77.374,bmse000020
181,7,74.498,bmse000020
182,8,73.774,bmse000020
183,9,73.105,bmse000020
184,10,73.077,bmse000020
185,11,72.942,bmse000020
186,12,71.777,bmse000020
187,13,68.622,bmse000020
188,14,68.218,bmse000020
189,15,67.836,bmse000020
190,16,66.949,bmse000020
191,17,66.71,bmse000020
192,18,66,bmse000020
193,19,65.794,bmse000020
194,20,65.587,bmse000020
195,21,65.107,bmse000020
196,22,64.08,bmse000020
197,23,60.724,bmse000020
198,1,100.509,bmse000022
199,2,76.569,bmse000022
200,3,73.073,bmse000022
201,4,72.166,bmse000022
202,5,66.176,bmse000022
203,6,64.513,bmse000022
204,1,101.106,bmse000023
205,2,100.995,bmse000023
206,3,73.678,bmse000023
207,4,73.649,bmse000023
208,5,72.516,bmse000023
209,6,72.044,bmse000023
210,7,69.12,bmse000023
211,8,66.626,bmse000023
212,9,66.424,bmse000023
213,10,66.239,bmse000023
214,11,64.998,bmse000023
215,12,62.882,bmse000023
216,1,183.702,bmse000025
217,2,182.976,bmse000025
218,3,76.403,bmse000025
219,4,51.813,bmse000025
220,5,40.339,bmse000025
221,1,99.367,bmse000026
222,2,94.983,bmse000026
223,3,78.557,bmse000026
224,4,76.776,bmse000026
225,5,75.565,bmse000026
226,6,74.207,bmse000026
227,7,72.153,bmse000026
228,8,71.983,bmse000026
229,9,67.949,bmse000026
230,10,63.679,bmse000026
231,1,53.22,bmse000028
232,2,18.859,bmse000028
233,1,177.262,bmse000029
234,2,159.527,bmse000029
235,3,57.021,bmse000029
236,4,43.22,bmse000029
237,5,30.296,bmse000029
238,6,26.585,bmse000029
239,1,177.197,bmse000030
240,2,176.228,bmse000030
241,3,54.01,bmse000030
242,4,37.292,bmse000030
243,1,180.316,bmse000031
244,2,177.02,bmse000031
245,3,54.924,bmse000031
246,4,39.277,bmse000031
247,1,177.446,bmse000032
248,2,164.322,bmse000032
249,3,57.222,bmse000032
250,4,41.933,bmse000032
251,5,30.479,bmse000032
252,6,27.691,bmse000032
253,1,56.46,bmse000033
254,2,56.284,bmse000033
255,3,34.826,bmse000033
256,4,32.906,bmse000033
257,5,29.785,bmse000033
258,1,175.505,bmse000034
259,2,58.698,bmse000034
260,3,27.659,bmse000034
261,1,183.353,bmse000035
262,2,57.601,bmse000035
263,3,46.05,bmse000035
264,1,98.947,bmse000036
265,2,94.928,bmse000036
266,3,75.645,bmse000036
267,4,74.607,bmse000036
268,5,74.38,bmse000036
269,6,74.169,bmse000036
270,7,73.605,bmse000036
271,8,71.978,bmse000036
272,9,70.801,bmse000036
273,10,69.038,bmse000036
274,11,18.237,bmse000036
275,1,184.057,bmse000037
276,2,177.31,bmse000037
277,3,57.35,bmse000037
278,4,36.192,bmse000037
279,5,29.688,bmse000037
280,1,180.379,bmse000038
281,2,176.833,bmse000038
282,3,56.847,bmse000038
283,4,33.541,bmse000038
284,5,28.962,bmse000038
285,1,176.656,bmse000039
286,2,138.894,bmse000039
287,3,134.485,bmse000039
288,4,134.45,bmse000039
289,5,119.62,bmse000039
290,6,119.571,bmse000039
291,7,57.454,bmse000039
292,8,30.712,bmse000039
293,1,177.253,bmse000040
294,2,61.36,bmse000040
295,3,56.088,bmse000040
296,4,34.905,bmse000040
297,1,176.996,bmse000041
298,2,62.268,bmse000041
299,3,38.634,bmse000041
300,4,27.195,bmse000041
301,5,17.43,bmse000041
302,6,13.853,bmse000041
303,1,178.403,bmse000042
304,2,56.133,bmse000042
305,3,42.547,bmse000042
306,4,26.887,bmse000042
307,5,24.764,bmse000042
308,6,23.599,bmse000042
309,1,177.506,bmse000043
310,2,57.209,bmse000043
311,3,41.774,bmse000043
312,4,32.648,bmse000043
313,5,29.157,bmse000043
314,6,24.162,bmse000043
315,1,177.117,bmse000044
316,2,56.604,bmse000044
317,3,32.414,bmse000044
318,4,31.531,bmse000044
319,5,16.655,bmse000044
320,1,176.796,bmse000045
321,2,137.815,bmse000045
322,3,132.114,bmse000045
323,4,131.857,bmse000045
324,5,130.439,bmse000045
325,6,58.764,bmse000045
326,7,39.115,bmse000045
327,1,183.828,bmse000046
328,2,182.597,bmse000046
329,3,73.106,bmse000046
330,4,45.378,bmse000046
331,1,177.502,bmse000047
332,2,63.942,bmse000047
333,3,48.794,bmse000047
334,4,31.746,bmse000047
335,5,26.498,bmse000047
336,1,175.251,bmse000048
337,2,62.926,bmse000048
338,3,59.114,bmse000048
339,1,175.702,bmse000049
340,2,68.697,bmse000049
341,3,63.19,bmse000049
342,4,22.195,bmse000049
343,1,177.356,bmse000050
344,2,139.097,bmse000050
345,3,129.398,bmse000050
346,4,127.811,bmse000050
347,5,124.891,bmse000050
348,6,122.22,bmse000050
349,7,121.218,bmse000050
350,8,114.72,bmse000050
351,9,110.207,bmse000050
352,10,57.776,bmse000050
353,11,29.17,bmse000050
354,1,185.397,bmse000051
355,2,166.562,bmse000051
356,3,133.45,bmse000051
357,4,126.8,bmse000051
358,5,121.163,bmse000051
359,6,60.265,bmse000051
360,7,42.435,bmse000051
361,1,177.109,bmse000052
362,2,63.103,bmse000052
363,3,31.849,bmse000052
364,4,20.716,bmse000052
365,5,19.382,bmse000052
366,1,167.82,bmse000053
367,2,157.787,bmse000053
368,3,155.348,bmse000053
369,4,151.403,bmse000053
370,5,148.455,bmse000053
371,6,145.069,bmse000053
372,7,142.668,bmse000053
373,8,142.329,bmse000053
374,9,136.321,bmse000053
375,10,131.352,bmse000053
376,11,120.829,bmse000053
377,12,102.76,bmse000053
378,13,89.721,bmse000053
379,14,89.646,bmse000053
380,15,89.414,bmse000053
381,16,86.561,bmse000053
382,17,86.491,bmse000053
383,18,80.348,bmse000053
384,19,76.722,bmse000053
385,20,73.295,bmse000053
386,21,73.128,bmse000053
387,22,68.214,bmse000053
388,23,68.168,bmse000053
389,24,67.689,bmse000053
390,25,67.643,bmse000053
391,1,175.307,bmse000054
392,2,158.072,bmse000054
393,3,155.37,bmse000054
394,4,151.451,bmse000054
395,5,142.311,bmse000054
396,6,141.158,bmse000054
397,7,126.455,bmse000054
398,8,121.212,bmse000054
399,9,108.089,bmse000054
400,10,102.572,bmse000054
401,11,97.844,bmse000054
402,12,89.903,bmse000054
403,13,86.33,bmse000054
404,14,85.139,bmse000054
405,15,85.105,bmse000054
406,16,85.069,bmse000054
407,17,77.305,bmse000054
408,18,73.535,bmse000054
409,19,73.331,bmse000054
410,20,72.968,bmse000054
411,21,68.712,bmse000054
412,22,67.943,bmse000054
413,23,60.216,bmse000054
414,24,24.63,bmse000054
415,25,19.588,bmse000054
416,1,175.446,bmse000055
417,2,158.245,bmse000055
418,3,155.424,bmse000055
419,4,151.666,bmse000055
420,5,142.765,bmse000055
421,6,141.113,bmse000055
422,7,126.508,bmse000055
423,8,121.411,bmse000055
424,9,108.086,bmse000055
425,10,102.615,bmse000055
426,11,97.758,bmse000055
427,12,89.574,bmse000055
428,13,89.509,bmse000055
429,14,85.71,bmse000055
430,15,85.674,bmse000055
431,16,85.145,bmse000055
432,17,79.294,bmse000055
433,18,79.256,bmse000055
434,19,73.538,bmse000055
435,20,73.364,bmse000055
436,21,72.858,bmse000055
437,22,68.612,bmse000055
438,23,68.067,bmse000055
439,24,24.678,bmse000055
440,25,19.572,bmse000055
441,1,178.452,bmse000056
442,2,177.525,bmse000056
443,3,95.837,bmse000056
444,4,95.712,bmse000056
445,5,79.06,bmse000056
446,6,74.774,bmse000056
447,7,74.724,bmse000056
448,8,71.582,bmse000056
449,9,69.48,bmse000056
450,10,69.219,bmse000056
451,11,63.101,bmse000056
452,12,56.814,bmse000056
453,13,55.939,bmse000056
454,14,24.77,bmse000056
455,15,24.635,bmse000056
456,1,179.52,bmse000057
457,2,177.489,bmse000057
458,3,99.127,bmse000057
459,4,73.027,bmse000057
460,5,72.919,bmse000057
461,6,71.284,bmse000057
462,7,70.028,bmse000057
463,8,66.026,bmse000057
464,9,54.991,bmse000057
465,10,42.112,bmse000057
466,11,24.841,bmse000057
