id,mol_dir_name,bmrbacc,sub_id,chem_shift,intensity
1,1_3_diaminopropane,bmse000001,1,3.1299,8.64
2,1_3_diaminopropane,bmse000001,2,3.1106,12.5
3,1_3_diaminopropane,bmse000001,3,3.091,9.41
4,1_3_diaminopropane,bmse000001,4,2.1185,1.24
5,1_3_diaminopropane,bmse000001,5,2.0986,3.14
6,1_3_diaminopropane,bmse000001,6,2.0795,4.67
7,1_3_diaminopropane,bmse000001,7,2.06,2.93
8,1_3_diaminopropane,bmse000001,8,2.0408,1.13
9,2_3_diphospho_D_glyceric_acid,bmse000002,1,4.5274,5.98
10,2_3_diphospho_D_glyceric_acid,bmse000002,2,4.505,5.95
11,2_3_diphospho_D_glyceric_acid,bmse000002,3,4.0361,12.5
12,2_3_diphospho_D_glyceric_acid,bmse000002,4,4.0249,11.37
13,2_deoxyguanosine,bmse000003,1,7.9716,12.5
14,2_deoxyguanosine,bmse000003,2,6.2868,6.31
15,2_deoxyguanosine,bmse000003,3,4.6119,5.56
16,2_deoxyguanosine,bmse000003,4,4.1146,5.84
17,2_deoxyguanosine,bmse000003,5,3.7972,5.98
18,2_deoxyguanosine,bmse000003,6,3.7681,5.87
19,2_deoxyguanosine,bmse000003,7,2.7592,3.73
20,2_deoxyguanosine,bmse000003,8,2.5149,3.03
21,adenine,bmse000060,1,8.4299,12.5
22,adenine,bmse000060,2,8.3753,12.41
23,adenosine,bmse000061,1,8.293,12.3
24,adenosine,bmse000061,2,8.1649,12.5
25,adenosine,bmse000061,3,6.0437,6.33
26,adenosine,bmse000061,4,6.0285,6.55
27,adenosine,bmse000061,5,4.7743,14.69
28,adenosine,bmse000061,6,4.4254,5.36
29,adenosine,bmse000061,7,4.2941,5.66
30,adenosine,bmse000061,8,3.9329,2.51
31,adenosine,bmse000061,9,3.9066,5.17
32,adenosine,bmse000061,10,3.8539,4.67
33,adenosine,bmse000061,11,3.8218,2.39
34,adonitol,bmse000062,1,3.8077,12.5
35,adonitol,bmse000062,2,3.7951,5.19
36,adonitol,bmse000062,3,3.7833,8
37,adonitol,bmse000062,4,3.6972,2.68
38,adonitol,bmse000062,5,3.6823,3.99
39,adonitol,bmse000062,6,3.6642,5.52
40,adonitol,bmse000062,7,3.6444,5.07
41,adonitol,bmse000062,8,3.6327,4.48
42,adonitol,bmse000062,9,3.6137,2.58
43,ADP,bmse000004,1,8.5686,4.05
44,ADP,bmse000004,2,8.4998,5.38
45,ADP,bmse000004,3,8.1718,12.5
46,ADP,bmse000004,4,6.1178,6.12
47,ADP,bmse000004,5,6.1061,6.2
48,ADP,bmse000004,6,4.7478,6.83
49,ADP,bmse000004,7,4.6172,4.67
50,ADP,bmse000004,8,4.514,2.14
51,ADP,bmse000004,9,4.3835,4.66
52,ADP,bmse000004,10,4.2284,3.32
53,ADP,bmse000004,11,4.0266,3.85
54,ADP,bmse000004,12,3.3558,4.67
55,agmatine,bmse000063,1,3.245,6.56
56,agmatine,bmse000063,2,3.2283,12.5
57,agmatine,bmse000063,3,3.213,6.43
58,agmatine,bmse000063,4,3.0403,5.98
59,agmatine,bmse000063,5,3.0231,10.6
60,agmatine,bmse000063,6,3.0045,6.92
61,agmatine,bmse000063,7,1.7127,5.82
62,agmatine,bmse000063,8,1.6985,6.77
63,agmatine,bmse000063,9,1.6848,6.81
64,agmatine,bmse000063,10,1.6684,5.71
65,D_allose,bmse000008,1,5.2241,0.82
66,D_allose,bmse000008,2,5.1292,1.64
67,D_allose,bmse000008,3,4.8827,10.87
68,D_allose,bmse000008,4,4.8621,11.59
69,D_allose,bmse000008,5,4.3728,0.52
70,D_allose,bmse000008,6,4.155,12.5
71,D_allose,bmse000008,7,3.9708,1.03
72,D_allose,bmse000008,8,3.8803,6.91
73,D_allose,bmse000008,9,3.8511,9.16
74,D_allose,bmse000008,10,3.7689,5.36
75,D_allose,bmse000008,11,3.7536,5.65
76,D_allose,bmse000008,12,3.7057,7.12
77,D_allose,bmse000008,13,3.6912,6.17
78,D_allose,bmse000008,14,3.6759,5.77
79,D_allose,bmse000008,15,3.6611,4.08
80,D_allose,bmse000008,16,3.6376,7.58
81,D_allose,bmse000008,17,3.6313,7.39
82,D_allose,bmse000008,18,3.6128,5.56
83,D_allose,bmse000008,19,3.4137,6.15
84,D_allose,bmse000008,20,3.4069,6.15
85,D_allose,bmse000008,21,3.3932,6.1
86,D_allose,bmse000008,22,3.3864,5.7
87,D_fructose,bmse000010,1,4.1041,5.57
88,D_fructose,bmse000010,2,4.0959,5.68
89,D_fructose,bmse000010,3,4.0304,6.13
90,D_fructose,bmse000010,4,3.9975,8.64
91,D_fructose,bmse000010,5,3.9832,8.59
92,D_fructose,bmse000010,6,3.9007,3.86
93,D_fructose,bmse000010,7,3.8926,3.45
94,D_fructose,bmse000010,8,3.8757,6.03
95,D_fructose,bmse000010,9,3.8677,5.9
96,D_fructose,bmse000010,10,3.7951,11.22
97,D_fructose,bmse000010,11,3.7699,7.79
98,D_fructose,bmse000010,12,3.7127,10.48
99,D_fructose,bmse000010,13,3.6841,12.5
100,D_fructose,bmse000010,14,3.652,1.98
101,D_fructose,bmse000010,15,3.6405,3.2
102,D_fructose,bmse000010,16,3.5999,1.25
103,D_fructose,bmse000010,17,3.562,10.07
104,D_fructose,bmse000010,18,3.5497,5.05
105,D_fructose,bmse000010,19,3.5326,6.55
106,D_galactose,bmse000013,1,5.256,3.31
107,D_galactose,bmse000013,2,5.2474,3.28
108,D_galactose,bmse000013,3,4.5812,6.36
109,D_galactose,bmse000013,4,4.5616,6.54
110,D_galactose,bmse000013,5,4.0907,1.62
111,D_galactose,bmse000013,6,4.0759,2.56
112,D_galactose,bmse000013,7,4.0602,1.57
113,D_galactose,bmse000013,8,3.972,3.37
114,D_galactose,bmse000013,9,3.9202,6.42
115,D_galactose,bmse000013,10,3.9128,6.66
116,D_galactose,bmse000013,11,3.8604,1.18
117,D_galactose,bmse000013,12,3.8345,2.8
