id,bmrbid,peakcount
1,bmse000001,8
2,bmse000002,11
3,bmse000004,38
4,bmse000005,9
5,bmse000006,14
6,bmse000007,17
7,bmse000008,26
8,bmse000010,26
9,bmse000011,17
10,bmse000012,32
11,bmse000013,38
12,bmse000015,39
13,bmse000016,37
14,bmse000017,41
15,bmse000018,45
16,bmse000019,32
17,bmse000020,38
18,bmse000022,21
19,bmse000023,23
20,bmse000025,16
21,bmse000026,30
22,bmse000027,42
23,bmse000028,6
24,bmse000029,36
25,bmse000030,12
26,bmse000031,12
27,bmse000032,32
28,bmse000033,27
29,bmse000034,11
30,bmse000035,12
31,bmse000036,31
32,bmse000037,23
33,bmse000038,13
34,bmse000039,14
35,bmse000040,23
36,bmse000041,32
37,bmse000042,14
38,bmse000043,30
39,bmse000044,21
40,bmse000045,20
41,bmse000046,12
42,bmse000047,33
43,bmse000048,12
44,bmse000049,9
45,bmse000050,23
46,bmse000051,16
47,bmse000052,14
48,bmse000053,39
49,bmse000054,47
50,bmse000055,41
51,bmse000056,36
52,bmse000057,29
53,bmse000058,26
54,bmse000060,2
55,bmse000061,22
56,bmse000062,13
57,bmse000063,20
58,bmse000064,6
59,bmse000065,53
60,bmse000066,4
61,bmse000067,10
62,bmse000068,24
63,bmse000069,2
64,bmse000070,2
65,bmse000071,11
66,bmse000072,11
67,bmse000073,16
68,bmse000074,13
69,bmse000075,15
70,bmse000076,4
71,bmse000077,14
72,bmse000078,2
73,bmse000079,2
74,bmse000080,18
75,bmse000083,1
76,bmse000084,15
77,bmse000086,31
78,bmse000087,25
79,bmse000089,1
80,bmse000090,1
81,bmse000091,20
82,bmse000093,12
83,bmse000094,2
84,bmse000095,9
85,bmse000096,2
86,bmse000097,14
87,bmse000098,22
88,bmse000099,16
89,bmse000100,9
90,bmse000101,9
91,bmse000102,5
92,bmse000103,13
93,bmse000104,10
94,bmse000105,50
95,bmse000107,2
96,bmse000109,8
97,bmse000110,7
98,bmse000111,8
99,bmse000112,1
100,bmse000113,1
101,bmse000114,24
102,bmse000115,20
103,bmse000116,16
104,bmse000117,12
105,bmse000119,29
106,bmse000120,6
107,bmse000121,11
108,bmse000123,22
109,bmse000124,11
110,bmse000125,23
111,bmse000127,1
112,bmse000129,15
113,bmse000130,4
114,bmse000131,4
115,bmse000132,7
116,bmse000133,4
117,bmse000134,14
118,bmse000137,3
119,bmse000138,47
120,bmse000139,43
121,bmse000140,26
122,bmse000141,24
123,bmse000142,20
124,bmse000143,8
125,bmse000144,1
126,bmse000145,22
127,bmse000146,2
128,bmse000147,10
129,bmse000150,8
130,bmse000151,21
131,bmse000152,7
132,bmse000153,21
133,bmse000154,12
134,bmse000155,2
135,bmse000157,7
136,bmse000158,24
137,bmse000159,6
138,bmse000160,2
139,bmse000161,16
140,bmse000166,19
141,bmse000167,1
142,bmse000168,8
143,bmse000169,21
144,bmse000170,31
145,bmse000172,15
146,bmse000173,10
147,bmse000174,9
148,bmse000175,19
149,bmse000176,7
150,bmse000177,11
151,bmse000179,7
152,bmse000182,15
153,bmse000183,1
154,bmse000184,15
155,bmse000185,22
156,bmse000187,4
157,bmse000189,34
158,bmse000190,24
159,bmse000191,1
160,bmse000193,20
161,bmse000194,45
162,bmse000195,23
163,bmse000196,25
164,bmse000198,9
165,bmse000199,3
166,bmse000200,6
167,bmse000201,47
168,bmse000202,14
169,bmse000203,1
170,bmse000205,36
171,bmse000206,4
172,bmse000207,16
173,bmse000208,6
174,bmse000210,28
175,bmse000212,1
176,bmse000213,30
177,bmse000216,26
178,bmse000219,4
179,bmse000220,7
180,bmse000221,46
181,bmse000222,12
182,bmse000223,8
183,bmse000224,1
184,bmse000228,6
185,bmse000230,14
186,bmse000231,26
187,bmse000235,36
188,bmse000237,31
189,bmse000239,10
190,bmse000240,41
191,bmse000241,2
192,bmse000242,6
193,bmse000243,10
194,bmse000244,24
195,bmse000245,1
196,bmse000246,20
197,bmse000248,1
198,bmse000249,12
199,bmse000252,13
200,bmse000253,27
201,bmse000254,9
202,bmse000255,16
203,bmse000256,1
204,bmse000258,6
205,bmse000259,5
206,bmse000261,1
207,bmse000263,38
208,bmse000264,4
209,bmse000265,8
210,bmse000266,15
211,bmse000267,1
212,bmse000269,6
213,bmse000270,13
214,bmse000272,14
215,bmse000273,12
216,bmse000274,10
217,bmse000275,24
218,bmse000276,6
219,bmse000277,14
220,bmse000279,6
221,bmse000280,26
222,bmse000281,11
223,bmse000282,6
224,bmse000284,8
225,bmse000285,11
226,bmse000286,9
227,bmse000287,13
228,bmse000288,4
229,bmse000289,38
230,bmse000290,8
231,bmse000291,20
232,bmse000292,38
233,bmse000293,1
234,bmse000294,1
235,bmse000295,17
236,bmse000297,7
237,bmse000298,8
238,bmse000300,8
239,bmse000302,18
240,bmse000303,8
241,bmse000305,21
242,bmse000306,33
243,bmse000307,20
244,bmse000308,8
245,bmse000309,11
246,bmse000310,14
247,bmse000311,26
248,bmse000312,7
249,bmse000313,61
250,bmse000314,51
251,bmse000315,32
252,bmse000316,15
253,bmse000317,36
254,bmse000318,6
255,bmse000319,25
256,bmse000320,37
257,bmse000321,10
258,bmse000322,20
259,bmse000323,37
260,bmse000324,9
261,bmse000325,7
262,bmse000326,8
263,bmse000327,13
264,bmse000328,8
265,bmse000329,9
266,bmse000330,7
267,bmse000331,18
268,bmse000332,9
269,bmse000333,6
270,bmse000334,6
271,bmse000335,5
272,bmse000336,4
273,bmse000337,21
274,bmse000338,21
275,bmse000339,8
276,bmse000340,11
277,bmse000341,5
278,bmse000342,11
279,bmse000343,10
280,bmse000344,11
281,bmse000345,17
282,bmse000346,1
283,bmse000347,15
284,bmse000349,13
285,bmse000350,11
286,bmse000351,20
287,bmse000352,12
288,bmse000353,41
289,bmse000354,13
290,bmse000355,8
291,bmse000356,5
292,bmse000358,9
293,bmse000360,6
294,bmse000361,22
295,bmse000362,6
296,bmse000363,1
297,bmse000364,10
298,bmse000365,25
299,bmse000367,1
300,bmse000368,4
301,bmse000369,23
302,bmse000370,15
303,bmse000371,6
304,bmse000372,16
305,bmse000373,11
306,bmse000375,51
307,bmse000376,19
308,bmse000377,12
309,bmse000378,10
310,bmse000379,6
311,bmse000380,12
312,bmse000381,7
313,bmse000382,21
314,bmse000383,13
315,bmse000384,1
316,bmse000385,10
317,bmse000387,38
318,bmse000388,6
319,bmse000389,1
320,bmse000390,15
321,bmse000391,8
322,bmse000392,12
323,bmse000394,21
324,bmse000395,5
325,bmse000396,15
326,bmse000397,38
327,bmse000398,1
328,bmse000399,16
329,bmse000400,7
330,bmse000401,26
331,bmse000402,12
332,bmse000403,12
333,bmse000404,20
334,bmse000405,13
335,bmse000406,8
336,bmse000407,9
337,bmse000408,9
338,bmse000409,22
339,bmse000410,13
340,bmse000411,21
341,bmse000412,18
342,bmse000413,18
343,bmse000414,5
344,bmse000415,10
345,bmse000417,14
346,bmse000420,8
347,bmse000421,2
348,bmse000422,19
349,bmse000423,14
350,bmse000424,8
351,bmse000425,6
352,bmse000426,1
353,bmse000428,5
354,bmse000429,35
355,bmse000430,26
356,bmse000431,39
357,bmse000432,9
358,bmse000433,11
359,bmse000434,14
360,bmse000435,11
