id,peak_id,val,bmrbid
1,1,3.12,bmse000001
2,2,3.104,bmse000001
3,3,3.088,bmse000001
4,4,2.108,bmse000001
5,5,2.092,bmse000001
6,6,2.077,bmse000001
7,7,2.061,bmse000001
8,8,2.046,bmse000001
9,1,4.527,bmse000002
10,2,4.516,bmse000002
11,3,4.504,bmse000002
12,4,4.073,bmse000002
13,5,4.065,bmse000002
14,6,4.047,bmse000002
15,7,4.035,bmse000002
16,8,4.024,bmse000002
17,9,4.012,bmse000002
18,10,3.996,bmse000002
19,11,3.986,bmse000002
20,1,8.495,bmse000004
21,2,8.455,bmse000004
22,3,8.195,bmse000004
23,4,8.179,bmse000004
24,5,6.087,bmse000004
25,6,6.077,bmse000004
26,7,4.731,bmse000004
27,8,4.722,bmse000004
28,9,4.714,bmse000004
29,10,4.704,bmse000004
30,11,4.562,bmse000004
31,12,4.554,bmse000004
32,13,4.545,bmse000004
33,14,4.52,bmse000004
34,15,4.511,bmse000004
35,16,4.501,bmse000004
36,17,4.418,bmse000004
37,18,4.407,bmse000004
38,19,4.4,bmse000004
39,20,4.308,bmse000004
40,21,4.285,bmse000004
41,22,4.277,bmse000004
42,23,4.268,bmse000004
43,24,4.245,bmse000004
44,25,4.209,bmse000004
45,26,4.206,bmse000004
46,27,4.201,bmse000004
47,28,4.192,bmse000004
48,29,4.184,bmse000004
49,30,4.178,bmse000004
50,31,4.163,bmse000004
51,32,4.158,bmse000004
52,33,4.154,bmse000004
53,34,4.147,bmse000004
54,35,4.141,bmse000004
55,36,4.134,bmse000004
56,37,4.13,bmse000004
57,38,3.365,bmse000004
58,1,8.567,bmse000005
59,2,8.164,bmse000005
60,3,6.113,bmse000005
61,4,6.098,bmse000005
62,5,4.523,bmse000005
63,6,4.514,bmse000005
64,7,4.503,bmse000005
65,8,4.372,bmse000005
66,9,4.028,bmse000005
67,1,8.543,bmse000006
68,2,8.327,bmse000006
69,3,6.093,bmse000006
70,4,6.083,bmse000006
71,5,4.698,bmse000006
72,6,4.688,bmse000006
73,7,4.679,bmse000006
74,8,4.562,bmse000006
75,9,4.554,bmse000006
76,10,4.547,bmse000006
77,11,4.426,bmse000006
78,12,4.361,bmse000006
79,13,4.34,bmse000006
80,14,4.308,bmse000006
81,1,4.187,bmse000007
82,2,4.18,bmse000007
83,3,4.171,bmse000007
84,4,4.165,bmse000007
85,5,4.041,bmse000007
86,6,4.034,bmse000007
87,7,4.026,bmse000007
88,8,4.018,bmse000007
89,9,4.013,bmse000007
90,10,4.006,bmse000007
91,11,3.998,bmse000007
92,12,3.992,bmse000007
93,13,3.895,bmse000007
94,14,3.879,bmse000007
95,15,3.865,bmse000007
96,16,3.852,bmse000007
97,17,3.836,bmse000007
98,1,4.164,bmse000008
99,2,4.159,bmse000008
100,3,4.153,bmse000008
101,4,3.881,bmse000008
102,5,3.878,bmse000008
103,6,3.856,bmse000008
104,7,3.854,bmse000008
105,8,3.797,bmse000008
106,9,3.788,bmse000008
107,10,3.779,bmse000008
108,11,3.772,bmse000008
109,12,3.767,bmse000008
110,13,3.76,bmse000008
111,14,3.756,bmse000008
112,15,3.705,bmse000008
113,16,3.693,bmse000008
114,17,3.68,bmse000008
115,18,3.669,bmse000008
116,19,3.638,bmse000008
117,20,3.633,bmse000008
118,21,3.618,bmse000008
119,22,3.612,bmse000008
120,23,3.415,bmse000008
121,24,3.41,bmse000008
122,25,3.398,bmse000008
123,26,3.393,bmse000008
124,1,4.107,bmse000010
125,2,4.101,bmse000010
126,3,4.029,bmse000010
127,4,4.003,bmse000010
128,5,3.985,bmse000010
129,6,3.9,bmse000010
130,7,3.893,bmse000010
131,8,3.879,bmse000010
132,9,3.872,bmse000010
133,10,3.818,bmse000010
134,11,3.804,bmse000010
135,12,3.795,bmse000010
136,13,3.775,bmse000010
137,14,3.713,bmse000010
138,15,3.709,bmse000010
139,16,3.69,bmse000010
140,17,3.679,bmse000010
141,18,3.668,bmse000010
142,19,3.655,bmse000010
143,20,3.643,bmse000010
144,21,3.596,bmse000010
145,22,3.571,bmse000010
146,23,3.559,bmse000010
147,24,3.548,bmse000010
148,25,3.536,bmse000010
149,26,3.524,bmse000010
150,1,4.21,bmse000011
151,2,4.19,bmse000011
152,3,4.173,bmse000011
153,4,4.07,bmse000011
154,5,4.06,bmse000011
155,6,4.042,bmse000011
156,7,3.926,bmse000011
157,8,3.918,bmse000011
158,9,3.907,bmse000011
159,10,3.887,bmse000011
160,11,3.872,bmse000011
161,12,3.857,bmse000011
162,13,3.842,bmse000011
163,14,3.827,bmse000011
164,15,3.806,bmse000011
165,16,3.784,bmse000011
166,17,3.771,bmse000011
167,1,4.248,bmse000012
168,2,4.233,bmse000012
169,3,4.217,bmse000012
170,4,4.121,bmse000012
171,5,4.109,bmse000012
172,6,4.104,bmse000012
173,7,4.098,bmse000012
174,8,3.948,bmse000012
175,9,3.942,bmse000012
176,10,3.932,bmse000012
177,11,3.928,bmse000012
178,12,3.921,bmse000012
179,13,3.913,bmse000012
180,14,3.908,bmse000012
