id,mol_dir_name,bmrbacc,sub_id,x_chem_shift,y_chem_shift,x_width,y_width,height,volume
1,1_3_diaminopropane,bmse000001,1,39.321,3.136,2.148,4.017,231204700,2825153000
2,1_3_diaminopropane,bmse000001,2,39.321,3.117,2.238,2.914,404625100,2626996000
3,1_3_diaminopropane,bmse000001,3,39.321,3.099,2.219,3.095,232029400,1738747000
4,1_3_diaminopropane,bmse000001,4,27.606,2.106,2.264,3.492,99597080,769967000
5,1_3_diaminopropane,bmse000001,5,27.605,2.087,2.182,3.869,130609600,1369434000
6,1_3_diaminopropane,bmse000001,6,27.605,2.068,2.255,3.258,85753980,597905500
7,2_3_diphospho_D_glyceric_acid,bmse000002,1,77.808,4.531,3.012,4.088,79515500,1208394000
8,2_3_diphospho_D_glyceric_acid,bmse000002,2,77.845,4.51,2.78,4.278,83952140,1262015000
9,2_3_diphospho_D_glyceric_acid,bmse000002,3,69.206,4.037,2.604,5.279,165026600,2428095000
10,2_deoxyguanosine,bmse000003,1,140.392,7.968,2.385,3.076,234806600,1577585000
11,2_deoxyguanosine,bmse000003,2,86.668,6.281,2.088,4.745,327100000,3372890000
12,2_deoxyguanosine,bmse000003,3,73.903,4.611,2.217,6.313,326377900,3699636000
13,2_deoxyguanosine,bmse000003,4,89.855,4.119,2.202,4.908,417901700,4483199000
14,2_deoxyguanosine,bmse000003,5,64.332,3.827,2.517,3.337,84653580,519381400
15,2_deoxyguanosine,bmse000003,6,64.353,3.796,2.344,3.55,280925500,2541932000
16,2_deoxyguanosine,bmse000003,7,64.346,3.764,2.326,5.164,253030400,3459195000
17,2_deoxyguanosine,bmse000003,8,64.365,3.735,2.268,6.371,102455000,2512814000
18,2_deoxyguanosine,bmse000003,9,41.423,2.794,2.364,5.036,65277910,1029173000
19,2_deoxyguanosine,bmse000003,10,41.418,2.774,2.297,4.765,76139060,1024895000
20,2_deoxyguanosine,bmse000003,11,41.408,2.759,2.32,4.57,73947110,933829700
21,2_deoxyguanosine,bmse000003,12,41.42,2.522,2.094,9.606,90162780,1584653000
22,2_deoxyguanosine,bmse000003,13,41.407,2.488,2.233,5.817,75788470,1099610000
23,adenine,bmse000060,1,147.976,8.434,2.337,2.738,129005400,679009500
24,adenine,bmse000060,2,146.231,8.38,2.389,2.543,140165000,687072500
25,adenosine,bmse000061,1,143.294,8.297,2.386,2.581,153219200,811441300
26,adenosine,bmse000061,2,155.215,8.17,2.22,2.796,123408900,608343700
27,adenosine,bmse000061,3,91.047,6.044,2.157,7.294,140861900,1630750000
28,adenosine,bmse000061,4,91.054,6.034,2.269,3.267,167308300,1263004000
29,adenosine,bmse000061,5,76.403,4.779,2.115,3.743,126918600,1171828000
30,adenosine,bmse000061,6,73.361,4.428,2.079,5.35,123618500,1142841000
31,adenosine,bmse000061,7,88.533,4.293,2.321,4.095,176289300,1575656000
32,adenosine,bmse000061,8,64.205,3.94,2.268,3.057,37546020,184583600
33,adenosine,bmse000061,9,64.216,3.907,2.38,3.176,83257900,491573600
34,adenosine,bmse000061,10,64.207,3.854,2.156,3.769,76815980,538824400
35,adenosine,bmse000061,11,64.216,3.821,2.34,3.871,33644580,282641300
36,adonitol,bmse000062,1,74.804,3.812,2.639,3.27,246490800,2161406000
37,adonitol,bmse000062,2,65.076,3.813,2.595,2.821,218549000,1427598000
38,adonitol,bmse000062,3,65.072,3.783,2.611,2.948,265154600,1841267000
39,adonitol,bmse000062,4,74.894,3.687,2.358,3.302,148875000,1249174000
40,adonitol,bmse000062,5,65.071,3.668,2.613,2.737,130676900,907345300
41,adonitol,bmse000062,6,65.07,3.645,2.479,4.102,173442600,2050886000
42,adonitol,bmse000062,7,65.071,3.618,2.574,2.843,100268300,735892200
43,ADP,bmse000004,1,142.809,8.573,2.269,2.838,91523850,490258800
44,ADP,bmse000004,2,142.583,8.504,2.324,3.312,117975600,815392600
45,ADP,bmse000004,3,155.428,8.176,2.434,2.75,299534900,1751684000
46,ADP,bmse000004,4,89.75,6.115,2.82,5.793,226829100,3265058000
47,ADP,bmse000004,5,77.231,4.795,2.39,3.686,81527290,902543600
48,ADP,bmse000004,6,77.058,4.753,2.219,4.484,160640900,1611964000
49,ADP,bmse000004,7,72.615,4.62,2.289,4.67,141772300,1515676000
50,ADP,bmse000004,8,73.411,4.516,2.23,5.137,77380340,771788200
51,ADP,bmse000004,9,86.45,4.392,2.706,4.455,166614900,2021118000
52,ADP,bmse000004,10,87.413,4.375,2.715,4.014,96883770,1082933000
53,ADP,bmse000004,11,67.167,4.234,2.233,6.127,82356260,1243601000
54,ADP,bmse000004,12,67.178,4.207,2.325,7.28,34241960,973387400
55,ADP,bmse000004,13,66.227,4.031,2.273,4.414,102933800,891288000
56,agmatine,bmse000063,1,43.159,3.249,2.463,2.9,119167100,1000130000
57,agmatine,bmse000063,2,43.162,3.233,2.539,2.978,253723100,2012954000
58,agmatine,bmse000063,3,41.737,3.029,2.239,3.147,228233500,1625125000
59,agmatine,bmse000063,4,41.738,3.011,2.217,3.609,140560900,1655256000
60,agmatine,bmse000063,5,26.722,1.75,2.547,0,49008080,146213000
61,agmatine,bmse000063,6,26.723,1.737,2.28,8.349,88324590,1802225000
62,agmatine,bmse000063,7,26.722,1.729,2.097,16.59,86886890,2184941000
63,agmatine,bmse000063,8,27.699,1.689,2.079,6.178,94458490,1458398000
64,agmatine,bmse000063,9,27.702,1.674,2.123,5.963,99913080,1552116000
65,D_allose,bmse000008,1,64.939,5.228,2.338,2.968,10756710,45470140
66,D_allose,bmse000008,2,95.529,5.137,2.085,3.96,35162200,247339100
67,D_allose,bmse000008,3,96.096,4.906,2.728,1.933,-6188550,-9942535
68,D_allose,bmse000008,4,96.11,4.887,2.268,2.592,162095200,872306800
69,D_allose,bmse000008,5,73.94,4.881,2.454,3.052,12112690,54134060
70,D_allose,bmse000008,6,96.11,4.866,2.176,2.953,162923300,923678400
71,D_allose,bmse000008,7,73.948,4.861,2.545,2.277,-6109398,-19812720
72,D_allose,bmse000008,8,73.581,4.376,2.097,3.379,9507377,53425690
73,D_allose,bmse000008,9,72.013,4.205,2.411,3.791,4614903,8414482
74,D_allose,bmse000008,10,74.789,4.168,1.921,3.373,-5473387,-5214574
75,D_allose,bmse000008,11,73.115,4.166,3.987,2.143,-5645396,-23829400
76,D_allose,bmse000008,12,73.859,4.16,2.142,3.55,265818000,1878894000
77,D_allose,bmse000008,13,74.389,4.156,2.441,3.389,38057550,296263500
78,D_allose,bmse000008,14,72.777,4.149,4.781,2.587,4691217,21083560
79,D_allose,bmse000008,15,73.711,4.084,2.316,4.149,4808790,13052140
80,D_allose,bmse000008,16,86.176,4.066,2.17,4.97,4853498,13488960
81,D_allose,bmse000008,17,77.999,3.983,2.463,3.984,10932260,73234970
82,D_allose,bmse000008,18,69.556,3.962,2.192,8.163,10833710,170305900
83,D_allose,bmse000008,19,69.553,3.946,2.288,6.455,13217020,158900500
84,D_allose,bmse000008,20,64.254,3.893,1.717,3.001,-5186656,-9043115
85,D_allose,bmse000008,21,84.849,3.884,2.208,3.357,7679103,38523450
86,D_allose,bmse000008,22,63.864,3.885,2.494,2.852,96648300,624454700
87,D_allose,bmse000008,23,63.347,3.883,2.004,3.212,12852850,55265430
88,D_allose,bmse000008,24,63.865,3.855,2.517,2.785,135398300,856707500
89,D_allose,bmse000008,25,63.352,3.853,2.048,3.058,25590680,132422000
90,D_allose,bmse000008,26,75.172,3.81,2.05,5.512,4836869,9316606
91,D_allose,bmse000008,27,69.465,3.81,2.561,2.35,-5022554,-8842231
92,D_allose,bmse000008,28,63.369,3.8,2.198,4.004,15503100,127745300
93,D_allose,bmse000008,29,76.29,3.777,2.234,4.721,82428970,1044411000
94,D_allose,bmse000008,30,69.483,3.777,2.119,3.316,22717670,149184000
95,D_allose,bmse000008,31,63.363,3.771,2.141,4.96,7784346,119427000
96,D_allose,bmse000008,32,76.289,3.758,2.185,8.54,68152930,1305606000
97,D_allose,bmse000008,33,63.881,3.76,2.424,2.35,9667797,35454830
