id,bmrbid,peakcount
1,bmse000001,2
2,bmse000002,4
3,bmse000003,12
4,bmse000004,16
5,bmse000005,11
6,bmse000006,9
7,bmse000007,9
8,bmse000008,24
9,bmse000010,20
10,bmse000011,14
11,bmse000012,13
12,bmse000013,23
13,bmse000015,12
14,bmse000016,25
15,bmse000017,17
16,bmse000018,19
17,bmse000019,12
18,bmse000020,22
19,bmse000022,18
20,bmse000023,23
21,bmse000025,10
22,bmse000026,16
23,bmse000027,28
24,bmse000028,5
25,bmse000029,8
26,bmse000030,8
27,bmse000031,8
28,bmse000032,7
29,bmse000033,11
30,bmse000034,3
31,bmse000035,6
32,bmse000036,24
33,bmse000037,4
34,bmse000038,6
35,bmse000039,5
36,bmse000040,9
37,bmse000041,7
38,bmse000042,6
39,bmse000043,10
40,bmse000044,6
41,bmse000045,9
42,bmse000046,4
43,bmse000047,7
44,bmse000048,3
45,bmse000049,5
46,bmse000050,10
47,bmse000051,7
48,bmse000052,8
49,bmse000053,54
50,bmse000054,23
51,bmse000055,44
52,bmse000056,19
53,bmse000057,18
54,bmse000058,14
55,bmse000059,25
56,bmse000060,2
57,bmse000061,7
58,bmse000062,5
59,bmse000063,5
60,bmse000064,6
61,bmse000065,23
62,bmse000066,2
63,bmse000067,4
64,bmse000068,8
65,bmse000069,2
66,bmse000070,2
67,bmse000071,11
68,bmse000072,4
69,bmse000073,3
70,bmse000074,9
71,bmse000075,11
72,bmse000076,2
73,bmse000077,13
74,bmse000078,2
75,bmse000079,2
76,bmse000080,6
77,bmse000083,1
78,bmse000084,8
79,bmse000086,16
80,bmse000087,19
81,bmse000089,2
82,bmse000090,1
83,bmse000091,7
84,bmse000092,4
85,bmse000093,14
86,bmse000094,2
87,bmse000095,5
88,bmse000096,2
89,bmse000097,15
90,bmse000098,11
91,bmse000099,12
92,bmse000100,6
93,bmse000101,3
94,bmse000102,3
95,bmse000103,5
96,bmse000104,5
97,bmse000105,24
98,bmse000107,2
99,bmse000108,9
100,bmse000109,8
101,bmse000110,7
102,bmse000111,6
103,bmse000112,1
104,bmse000113,1
105,bmse000114,13
106,bmse000115,14
107,bmse000116,20
108,bmse000117,12
109,bmse000119,28
110,bmse000120,4
111,bmse000121,5
112,bmse000123,6
113,bmse000124,9
114,bmse000125,8
115,bmse000127,1
116,bmse000128,10
117,bmse000129,7
118,bmse000130,7
119,bmse000131,5
120,bmse000132,8
121,bmse000133,2
122,bmse000134,11
123,bmse000137,3
124,bmse000138,22
125,bmse000139,31
126,bmse000140,19
127,bmse000141,21
128,bmse000142,17
129,bmse000143,3
130,bmse000144,2
131,bmse000145,7
132,bmse000146,3
133,bmse000147,10
134,bmse000148,25
135,bmse000150,11
136,bmse000151,12
137,bmse000152,9
138,bmse000153,11
139,bmse000154,8
140,bmse000155,2
141,bmse000157,7
142,bmse000158,14
143,bmse000159,3
144,bmse000160,3
145,bmse000161,5
146,bmse000162,12
147,bmse000163,17
148,bmse000166,10
149,bmse000167,1
150,bmse000168,5
151,bmse000169,11
152,bmse000170,19
153,bmse000171,9
154,bmse000172,12
155,bmse000173,10
156,bmse000174,7
157,bmse000175,7
158,bmse000176,7
159,bmse000177,17
160,bmse000178,18
161,bmse000179,6
162,bmse000180,4
163,bmse000182,5
164,bmse000183,4
165,bmse000184,11
166,bmse000185,8
167,bmse000187,3
168,bmse000188,27
169,bmse000189,28
170,bmse000190,12
171,bmse000191,1
172,bmse000193,9
173,bmse000194,23
174,bmse000195,8
175,bmse000196,20
176,bmse000198,5
177,bmse000199,2
178,bmse000200,8
179,bmse000201,59
180,bmse000202,13
181,bmse000203,1
182,bmse000204,11
183,bmse000205,29
184,bmse000206,4
185,bmse000207,25
186,bmse000208,5
187,bmse000209,6
188,bmse000210,14
189,bmse000211,9
190,bmse000212,1
191,bmse000213,23
192,bmse000216,22
193,bmse000219,4
194,bmse000220,13
195,bmse000221,42
196,bmse000222,5
197,bmse000223,4
198,bmse000224,1
199,bmse000225,8
200,bmse000226,17
201,bmse000227,27
202,bmse000228,10
203,bmse000230,8
204,bmse000231,27
205,bmse000232,12
206,bmse000233,35
207,bmse000235,23
208,bmse000236,6
209,bmse000237,21
210,bmse000238,7
211,bmse000239,4
212,bmse000240,48
213,bmse000241,2
214,bmse000242,5
215,bmse000243,13
216,bmse000244,12
217,bmse000245,1
218,bmse000246,14
219,bmse000247,31
220,bmse000248,1
221,bmse000249,10
222,bmse000250,10
223,bmse000251,5
224,bmse000252,9
225,bmse000253,12
226,bmse000254,16
227,bmse000255,13
228,bmse000256,1
229,bmse000257,15
230,bmse000258,2
231,bmse000259,4
232,bmse000260,18
233,bmse000261,2
234,bmse000262,10
235,bmse000263,19
236,bmse000264,4
237,bmse000265,5
238,bmse000266,12
239,bmse000267,1
240,bmse000269,6
241,bmse000270,7
242,bmse000271,20
243,bmse000272,12
244,bmse000273,8
245,bmse000274,8
246,bmse000275,10
247,bmse000276,2
248,bmse000277,14
249,bmse000278,11
250,bmse000279,8
251,bmse000280,13
252,bmse000281,5
253,bmse000282,2
254,bmse000283,1
255,bmse000284,7
256,bmse000285,3
257,bmse000286,8
258,bmse000287,13
259,bmse000288,4
260,bmse000289,7
261,bmse000290,9
262,bmse000291,12
263,bmse000292,26
264,bmse000293,1
265,bmse000294,1
266,bmse000295,9
267,bmse000296,30
268,bmse000297,7
269,bmse000298,13
270,bmse000299,12
271,bmse000300,9
272,bmse000302,12
273,bmse000303,7
274,bmse000305,13
275,bmse000306,25
276,bmse000307,20
277,bmse000308,7
278,bmse000309,12
279,bmse000310,7
280,bmse000311,19
281,bmse000312,10
282,bmse000313,61
283,bmse000314,39
284,bmse000315,33
285,bmse000316,9
286,bmse000317,26
287,bmse000318,6
288,bmse000319,19
289,bmse000320,23
290,bmse000321,6
291,bmse000322,15
292,bmse000323,29
293,bmse000324,7
294,bmse000325,3
295,bmse000326,6
296,bmse000327,13
297,bmse000328,5
298,bmse000329,9
299,bmse000330,5
300,bmse000331,17
301,bmse000332,7
302,bmse000333,6
303,bmse000334,13
304,bmse000335,6
305,bmse000336,2
306,bmse000337,14
307,bmse000338,19
