id,bmrbid,mol_dir_name,classification
1,bmse010001,1_4_Hydroxyphenyl_ethanol,Monomers
2,bmse010002,Apocynol,Monomers
3,bmse010003,1_4_Hydroxy_3_5_dimethoxyphenyl_ethanol,Monomers
4,bmse010004,1_3_4_Dimethoxyphenyl_ethanol,Monomers
5,bmse010005,4_Hydroxybenzaldehyde,Monomers
6,bmse010006,vanillin,Monomers
7,bmse010007,Syringyl_alcohol,Monomers
8,bmse010008,Methyl_4_acetoxybenzoate,Monomers
9,bmse010009,Methyl_4_hydroxybenzoate,Monomers
10,bmse010010,4_hydroxy_3_methoxybenzyl_alcohol,Monomers
11,bmse010011,2_3_Diacetoxypropioveratrone,Monomers
12,bmse010012,p_Anisic_acid,Monomers
13,bmse010013,lignin_cw_compound_22,"b-O-4 Dimers, 2-Carbon Sidechain"
14,bmse010014,Hydroxyphenylethanol_diacetate,Monomers
15,bmse010015,p-Hydroxybenzyl-alcohol-diacetate,Monomers
16,bmse010016,Methyl_p_anisate,Monomers
17,bmse010017,lignin_cw_compound_26,"b-O-4 Dimers, 2-Carbon Sidechain"
18,bmse010018,lignin_cw_compound_27,"b-O-4 Dimers, 2-Carbon Sidechain"
19,bmse010019,Dehydrodivanillin,5-5 Dimers
20,bmse010020,lignin_cw_compound_29,"b-O-4 Dimers, 3-Carbon Sidechain"
21,bmse010021,lignin_cw_compound_2,"b-O-4 Dimers, 3-Carbon Sidechain"
22,bmse010022,Xylan,Misc. Compounds
23,bmse010023,Dihydroferulic_Acid,Monomers
24,bmse010024,4_Methoxyacetophenone,Monomers
25,bmse010025,p_Methoxybenzyl_alcohol,Monomers
26,bmse010026,Phenol,Monomers
27,bmse010027,Guaiacol,Monomers
28,bmse010028,p_Hydroxybenzyl_alcohol,Monomers
29,bmse010029,3_4_Dimethoxybenzyl_alcohol,Monomers
30,bmse010030,p_hydroxyacetophenone,Monomers
31,bmse010031,acetovanillone,Monomers
32,bmse010032,acetosyringone,Monomers
33,bmse010033,Acetoveratrone,Monomers
34,bmse010034,lignin_cw_compound_1001,"More Trimers Containing Ferulic, Coumaric or p-OH-Benzoic Acid"
35,bmse010035,lignin_cw_compound_1002,"More Trimers Containing Ferulic, Coumaric or p-OH-Benzoic Acid"
36,bmse010036,lignin_cw_compound_1003,"More Trimers Containing Ferulic, Coumaric or p-OH-Benzoic Acid"
37,bmse010037,lignin_cw_compound_1004,"More Trimers Containing Ferulic, Coumaric or p-OH-Benzoic Acid"
38,bmse010038,lignin_cw_compound_1005,"More Trimers Containing Ferulic, Coumaric or p-OH-Benzoic Acid"
39,bmse010039,lignin_cw_compound_1006,"More Trimers Containing Ferulic, Coumaric or p-OH-Benzoic Acid"
40,bmse010040,lignin_cw_compound_100,"b-O-4 Dimers, 3-Carbon Sidechain"
41,bmse010041,Guaiacylglycerol_B_guaiacyl_ether,"b-O-4 Dimers, 3-Carbon Sidechain"
42,bmse010042,Guaiacylglycerol_B_guaiacyl_ether,"b-O-4 Dimers, 3-Carbon Sidechain"
43,bmse010043,Acetylated_acetovanillone,Monomers
44,bmse010044,Veratrylglycerol_B_guaiacyl_ether,"b-O-4 Dimers, 3-Carbon Sidechain"
45,bmse010045,Veratrylglycerol_B_guaiacyl_ether,"b-O-4 Dimers, 3-Carbon Sidechain"
46,bmse010046,Erone,"b-O-4 Dimers, 3-Carbon Sidechain, a-C=O"
47,bmse010047,Vanillyl_B_D_Glucoside,Misc. Compounds
48,bmse010048,Acetylated_ferulic_acid,Monomers
49,bmse010049,Pinoresinol_diacetate,b-b Dimers
50,bmse010050,Veratrone,"b-O-4 Dimers, 3-Carbon Sidechain, a-C=O"
51,bmse010051,acetylated_isoeugenol,Monomers
52,bmse010052,Isoeugenol,Monomers
53,bmse010053,Eugenol,Monomers
54,bmse010054,4_Allyl_2_6_dimethoxyphenol,Monomers
55,bmse010055,acetylated_eugenol,Monomers
56,bmse010056,lignin_cw_compound_116,Monomers
57,bmse010057,Syringylresinol,b-b Dimers
58,bmse010058,Coniferin_acetate,Misc. Compounds
59,bmse010059,Syringin_acetate,Misc. Compounds
60,bmse010060,Syringylresinol_diacetate,b-b Dimers
61,bmse010061,cis_Ferulic_Acid,Monomers
62,bmse010062,lignin_cw_compound_125,"b-O-4 Dimers, 2-Carbon Sidechain"
63,bmse010063,lignin_cw_compound_126,"b-O-4 Dimers, 2-Carbon Sidechain"
64,bmse010064,Dihydrocoumaric_acid,Monomers
65,bmse010065,acetylated_dihydrocoumaric_acid,Monomers
66,bmse010066,acetylated_coumaric_acid,Monomers
67,bmse010067,lignin_cw_compound_130,Monomers
