id,mol_name,formula,kegg_id,pubchem_sid
1,Coformycin,C11H16N4O5,C01677,4820
2,2-Oxo-5-methyl-cis-muconate,C7H8O5,C07479,9682
3,"2-Hydroxy-5-methyl-cis,cis-muconate",C7H8O5,C07478,9681
4,Candesartan,C24H20N6O3,C07468,9671
5,Eprosartan,C23H24N2O4S,C07467,9670
6,Dihydroxymandelic acid,C8H8O5,C07470,9673
7,Irbesartan,C25H28N6O,C07469,9672
8,Muscarine,C9H20NO2+,C07473,9676
9,Methacholine,C8H18NO2+,C07471,9674
10,Lobeline,C22H27NO2,C07475,9678
11,Pilocarpine,C11H16N2O2,C07474,9677
12,5-Nitro-2-(3-phenylpropylamino)benzoic acid,C16H16N2O4,C13705,586294
13,TS-TM-calix(4)arene,C32H32O16S4,C13704,586293
14,Fenamic acid,C13H11NO2,C13697,586286
15,(+)-TACP,C6H11NO2,C13696,586285
16,9-Anthroic acid,C15H10O2,C13699,586288
17,Niflumic acid,C13H9F3N2O2,C13698,586287
18,CPP,C9H9ClO3,C13701,586290
19,Clofibric acid,C10H11ClO3,C13700,586289
20,IAA-94,C17H18Cl2O4,C13703,586292
21,"4-Acetamido-4'-isothiocyanostilbene-2,2'-disulphonic acid",C17H14N2O7S3,C13702,586291
22,Lipoxin A4,C20H32O5,C06314,8550
23,Lipoxin B4,C20H32O5,C06315,8551
24,Choline sulfate,C5H13NO4S,C00919,4173
25,(+)-alpha-Pinene,C10H16,C06306,8542
26,(-)-beta-Pinene,C10H16,C06307,8543
27,(-)-alpha-Pinene,C10H16,C06308,8544
28,Diplopterol,C30H52O,C06309,8545
29,Diploptene,C30H50,C06310,8546
30,Galactitol 1-phosphate,C6H15O9P,C06311,8547
31,L-Tagatose 6-phosphate,C6H13O9P,C06312,8548
32,Biopterin,C9H11N5O3,C06313,8549
33,Isometamidium chloride,C28H26ClN7,C11201,13382
34,Lenacil,C13H18N2O2,C11200,13381
35,Cefpirome,C22H22N6O5S2,C11199,13380
36,Melitten,C131H229N39O31,C11198,13379
37,Spiperone,C23H26FN3O2,C11197,13378
38,Methomyl,C5H10N2O2S,C11196,13377
39,Mitoxantrone,C22H28N4O6,C11195,13376
40,Morfamquat,C26H36Cl2N4O4,C11194,13375
41,Cefozopran,C19H17N9O5S2,C11203,13384
42,Cefclidin,C21H26N8O6S2,C11202,13383
43,trans-4-Hydroxycyclohexylacetic acid,C8H14O3,"",285536
44,Biguanide,C2H7N5,C07672,9874
45,Histrelin,C66H86N18O12,C07671,9873
46,Sulfolithocholic acid,C24H40O6S,"",692134
47,Apraclonidine,C9H10Cl2N4,C07668,9870
48,Gossypol,C30H30O8,C07667,9869
49,Repaglinide,C27H36N2O4,C07670,9872
50,Glimepiride,C24H34N4O5S,C07669,9871
51,Trovafloxacin,C20H15F3N4O3,C07664,9866
52,Moxifloxacin,C21H24FN3O4,C07663,9865
53,Dapsone,C12H12N2O2S,C07666,9868
54,Ethionamide,C8H10N2S,C07665,9867
55,ML-236C,C18H26O3,C14043,7846935
56,1-Nitronaphthalene,C10H7NO2,C14040,7846934
57,Aspoxicillin,C21H27N5O7S,C13269,586013
58,Glucuronolactone,C6H8O6,C13268,586012
59,Meglumine,C7H17NO5,C13264,586008
60,Diphenhydramine salicylate,C24H27NO4,C14015,854256
61,Glyclopyramide,C11H14ClN3O3S,C13267,586011
62,Iopamidol,C17H22I3N3O8,C13265,586009
63,Mebhydrolin napadisilate,C48H48N4O6S2,C13254,585998
64,Piperacillin,C23H27N5O7S,C14034,854275
65,beta-D-Glucopyranuronamide,C6H11NO6,C13259,586003
66,Sultiame,C10H14N2O4S2,C13255,585999
67,Valproic acid glucuronide,C14H24O8,"",664921
68,Vinylacetylglycine,C7H11NO3,"",""
69,Dibenzylsuccinate,C18H18O4,C07332,9540
70,2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA,C31H50N7O18P3S,C11934,14095
71,4-Isopropenyl-2-oxy-cyclohexanecarboxyl-CoA,C31H48N7O18P3S,C11935,14096
72,dTDP-4-oxo-6-deoxy-D-allose,C16H24N2O15P2,C11926,14087
73,"dTDP-4-oxo-2,6-dideoxy-L-mannose",C16H24N2O14P2,C11927,14088
74,"dTDP-4-oxo-2,6-dideoxy-D-allose",C16H24N2O14P2,C11928,14089
75,Perillyl-CoA,C31H48N7O17P3S,C11929,14090
76,"dTDP 1-ester with (6R)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran",C16H22N2O14P2,C11930,14091
