formula,c_isotope,n_isotope,mass
"C9H10N2",12,14,146.084398331
"C9H10N2",13,14,155.114591872
"C9H10N2",12,15,148.078468118
"C9H10N2",13,15,157.108661658
"C7H7N3",12,14,133.06399724
"C7H7N3",13,14,140.087481105
"C7H7N3",12,15,136.05510192
"C7H7N3",13,15,143.078585784
"C4H13NO7P2",12,14,249.016724797
"C4H13NO7P2",13,14,253.030144148
"C4H13NO7P2",12,15,250.01375969
"C4H13NO7P2",13,15,254.027179042
"C23H28O10",12,14,464.16824712
"C23H28O10",13,14,487.245408389
"C23H28O10",12,15,464.16824712
"C23H28O10",13,15,487.245408389
"C26H25N2NaO6S",12,14,516.133101905
"C26H25N2NaO6S",13,14,542.220327688
"C26H25N2NaO6S",12,15,518.127171692
"C26H25N2NaO6S",13,15,544.214397475
"C23H28O11",12,14,480.163161742
"C23H28O11",13,14,503.240323011
"C23H28O11",12,15,480.163161742
"C23H28O11",13,15,503.240323011
"C31H54N7O17P3S",12,14,921.250973565
"C31H54N7O17P3S",13,14,952.354973537
"C31H54N7O17P3S",12,15,928.230217818
"C31H54N7O17P3S",13,15,959.33421779
"C16H20O2",12,14,244.146329886
"C16H20O2",13,14,260.200007291
"C16H20O2",12,15,244.146329886
"C16H20O2",13,15,260.200007291
"C26H38N7O19P3S",12,14,877.115602296
"C26H38N7O19P3S",13,14,903.202828079
"C26H38N7O19P3S",12,15,884.094846548
"C26H38N7O19P3S",13,15,910.182072331
"C16H20O3",12,14,260.141244508
"C16H20O3",13,14,276.194921913
"C16H20O3",12,15,260.141244508
"C16H20O3",13,15,276.194921913
"C16H20O4",12,14,276.13615913
"C16H20O4",13,14,292.189836535
"C16H20O4",12,15,276.13615913
"C16H20O4",13,15,292.189836535
"C72H101CoN18O17P+",12,14,1579.66562204
"C72H101CoN18O17P+",13,14,1651.90717036
"C72H101CoN18O17P+",12,15,1597.61225012
"C72H101CoN18O17P+",13,15,1669.85379844
"C16H20O6",12,14,308.125988375
"C16H20O6",13,14,324.179665779
"C16H20O6",12,15,308.125988375
"C16H20O6",13,15,324.179665779
"C10H14N2O",12,14,178.110613082
"C10H14N2O",13,14,188.14416146
"C10H14N2O",12,15,180.104682868
"C10H14N2O",13,15,190.138231246
"C24H40N7O18P3S",12,14,839.136337738
"C24H40N7O18P3S",13,14,863.216853845
"C24H40N7O18P3S",12,15,846.115581991
"C24H40N7O18P3S",13,15,870.196098098
"C16H20O9",12,14,356.110732241
"C16H20O9",13,14,372.164409646
"C16H20O9",12,15,356.110732241
"C16H20O9",13,15,372.164409646
"C62H90CoN13O15P-2",12,14,1346.57599316
"C62H90CoN13O15P-2",13,14,1408.7839931
"C62H90CoN13O15P-2",12,15,1359.53744677
"C62H90CoN13O15P-2",13,15,1421.74544671
"C32H42O7",12,14,538.293053703
"C32H42O7",13,14,570.400408513
"C32H42O7",12,15,538.293053703
"C32H42O7",13,15,570.400408513
"C32H42O8",12,14,554.287968325
"C32H42O8",13,14,586.395323135
"C32H42O8",12,15,554.287968325
"C32H42O8",13,15,586.395323135
"C92H130N28O24S4",12,14,2138.86956001
"C92H130N28O24S4",13,14,2231.17820509
"C92H130N28O24S4",12,15,2166.78653702
"C92H130N28O24S4",13,15,2259.0951821
"C12H20NO10S3-",12,14,434.025481518
"C12H20NO10S3-",13,14,446.065739572
"C12H20NO10S3-",12,15,435.022516411
"C12H20NO10S3-",13,15,447.062774465
"C7H7NO",12,14,121.052763852
"C7H7NO",13,14,128.076247717
"C7H7NO",12,15,122.049798745
"C7H7NO",13,15,129.07328261
"C9H10O2",12,14,150.068079565
"C9H10O2",13,14,159.098273105
"C9H10O2",12,15,150.068079565
"C9H10O2",13,15,159.098273105
"C9H10O3",12,14,166.062994187
"C9H10O3",13,14,175.093187728
"C9H10O3",12,15,166.062994187
"C9H10O3",13,15,175.093187728
"C9H10O4",12,14,182.057908809
"C9H10O4",13,14,191.08810235
"C9H10O4",12,15,182.057908809
"C9H10O4",13,15,191.08810235
"C9H10O5",12,14,198.052823432
"C9H10O5",13,14,207.083016972
"C9H10O5",12,15,198.052823432
"C9H10O5",13,15,207.083016972
"C66H87N13O13",12,14,1269.65462995
"C66H87N13O13",13,14,1335.87604924
"C66H87N13O13",12,15,1282.61608356
"C66H87N13O13",13,15,1348.83750285
"C9H10O6",12,14,214.047738054
"C9H10O6",13,14,223.077931594
"C9H10O6",12,15,214.047738054
"C9H10O6",13,15,223.077931594
"C48H84N2O17",12,14,960.576999282
"C48H84N2O17",13,14,1008.7380315
"C48H84N2O17",12,15,962.571069069
"C48H84N2O17",13,15,1010.73210128
"C13H16N2O2",12,14,232.121177768
"C13H16N2O2",13,14,245.16479066
"C13H16N2O2",12,15,234.115247555
"C13H16N2O2",13,15,247.158860446
"C13H16N2O3",12,14,248.11609239
"C13H16N2O3",13,14,261.159705282
"C13H16N2O3",12,15,250.110162177
"C13H16N2O3",13,15,263.153775068
"C39H32O15",12,14,740.174120359
"C39H32O15",13,14,779.304959033
"C39H32O15",12,15,740.174120359
"C39H32O15",13,15,779.304959033
"C13H16N2O4",12,14,264.111007012
"C13H16N2O4",13,14,277.154619904
"C13H16N2O4",12,15,266.105076799
"C13H16N2O4",13,15,279.14868969
"C21H26ClN3O2",12,14,387.171354804
"C21H26ClN3O2",13,14,408.241806398
"C21H26ClN3O2",12,15,390.162459484
"C21H26ClN3O2",13,15,411.232911078
"C11H11NO2",12,14,189.078978603
"C11H11NO2",13,14,200.115881818
"C11H11NO2",12,15,190.076013496
"C11H11NO2",13,15,201.112916712
"C13H16N2O5",12,14,280.105921635
"C13H16N2O5",13,14,293.149534526
"C13H16N2O5",12,15,282.099991421
"C13H16N2O5",13,15,295.143604312
"C11H11NO3",12,14,205.073893225
"C11H11NO3",13,14,216.11079644
"C11H11NO3",12,15,206.070928118
"C11H11NO3",13,15,217.107831334
"C13H16N2O6",12,14,296.100836257
"C13H16N2O6",13,14,309.144449148
"C13H16N2O6",12,15,298.094906043
"C13H16N2O6",13,15,311.138518934
"C11H11NO4",12,14,221.068807847
"C11H11NO4",13,14,232.105711063
"C11H11NO4",12,15,222.06584274
"C11H11NO4",13,15,233.102745956
"C11H11NO6",12,14,253.058637091
"C11H11NO6",13,14,264.095540307
"C11H11NO6",12,15,254.055671984
"C11H11NO6",13,15,265.0925752
"C7H4NNaO3S",12,14,204.98095836
"C7H4NNaO3S",13,14,212.004442224
"C7H4NNaO3S",12,15,205.977993253
"C7H4NNaO3S",13,15,213.001477118
"C19H23NO2",12,14,297.172878988
"C19H23NO2",13,14,316.236620906
"C19H23NO2",12,15,298.169913881
"C19H23NO2",13,15,317.233655799
