atomnum,symbol,isotope,mass,mass_stddev,percentcomp,percent_stdv,stand_mw,stand_mw_stdv,theoreticalval
0,"",0,,,,,,,
1,"H",1,1.0078250321,4e-10,99.9885,0.007,1.00794,7e-05,"n"
1,"H",2,2.014101778,4e-10,0.0115,0.007,1.00794,7e-05,"n"
1,"D",2,2.014101778,4e-10,0.0115,0.007,1.00794,7e-05,"n"
1,"H",3,3.0160492675,1.1e-09,0,0,1.00794,7e-05,"n"
1,"T",3,3.0160492675,1.1e-09,0,0,1.00794,7e-05,"n"
2,"He",3,3.0160293097,9e-10,0.000137,3e-06,4.002602,2e-06,"n"
2,"He",4,4.0026032497,1e-09,99.999863,3e-06,4.002602,2e-06,"n"
3,"Li",6,6.0151223,5e-07,7.59,0.04,6.941,0.002,"n"
3,"Li",7,7.016004,5e-07,92.41,0.04,6.941,0.002,"n"
4,"Be",9,9.0121821,4e-07,100,0,9.012182,3e-06,"n"
5,"B",10,10.012937,4e-07,19.9,0.7,10.811,0.007,"n"
5,"B",11,11.0093055,5e-07,80.1,0.7,10.811,0.007,"n"
6,"C",12,12,0,98.93,0.08,12.0107,0.0008,"n"
6,"C",13,13.0033548378,1e-09,1.07,0.08,12.0107,0.0008,"n"
6,"C",14,14.003241988,4e-09,0,0,12.0107,0.0008,"n"
7,"N",14,14.0030740052,9e-10,99.632,0.007,14.0067,0.0002,"n"
7,"N",15,15.0001088984,9e-10,0.368,0.007,14.0067,0.0002,"n"
8,"O",16,15.9949146221,1.5e-09,99.757,0.016,15.9994,0.0003,"n"
8,"O",17,16.9991315,2.2e-07,0.038,0.001,15.9994,0.0003,"n"
8,"O",18,17.9991604,9e-07,0.205,0.014,15.9994,0.0003,"n"
9,"F",19,18.9984032,7e-08,100,0,18.9984032,5e-07,"n"
10,"Ne",20,19.9924401759,2e-09,90.48,0.03,20.1797,0.0006,"n"
10,"Ne",21,20.99384674,4e-08,0.27,0.01,20.1797,0.0006,"n"
10,"Ne",22,21.99138551,2.3e-07,9.25,0.03,20.1797,0.0006,"n"
11,"Na",23,22.98976967,2.3e-07,100,0,22.98977,2e-06,"n"
12,"Mg",24,23.9850419,2e-07,78.99,0.04,24.305,0.0006,"n"
12,"Mg",25,24.98583702,2e-07,10,0.01,24.305,0.0006,"n"
12,"Mg",26,25.98259304,2.1e-07,11.01,0.03,24.305,0.0006,"n"
13,"Al",27,26.98153844,1.4e-07,100,0,26.981538,2e-06,"n"
14,"Si",28,27.9769265327,2e-09,92.2297,0.0007,28.0855,0.0003,"n"
14,"Si",29,28.97649472,3e-08,4.6832,0.0005,28.0855,0.0003,"n"
14,"Si",30,29.97377022,5e-08,3.0872,0.0005,28.0855,0.0003,"n"
15,"P",31,30.97376151,2e-07,100,0,30.973761,2e-06,"n"
16,"S",32,31.97207069,1.2e-07,94.93,0.31,32.065,0.005,"n"
16,"S",33,32.9714585,1.2e-07,0.76,0.02,32.065,0.005,"n"
16,"S",34,33.96786683,1.1e-07,4.29,0.28,32.065,0.005,"n"
16,"S",36,35.96708088,2.5e-07,0.02,0.01,32.065,0.005,"n"
17,"Cl",35,34.96885271,4e-08,75.78,0.04,35.453,0.002,"n"
17,"Cl",37,36.9659026,5e-08,24.22,0.04,35.453,0.002,"n"
18,"Ar",36,35.96754628,2.7e-07,0.3365,0.003,39.948,0.001,"n"
18,"Ar",38,37.9627322,5e-07,0.0632,0.0005,39.948,0.001,"n"
18,"Ar",40,39.962383123,3e-09,99.6003,0.003,39.948,0.001,"n"
19,"K",39,38.9637069,3e-07,93.2581,0.0044,39.0983,0.0001,"n"
19,"K",40,39.96399867,2.9e-07,0.0117,0.0001,39.0983,0.0001,"n"
19,"K",41,40.96182597,2.8e-07,6.7302,0.0044,39.0983,0.0001,"n"
20,"Ca",40,39.9625912,3e-07,96.941,0.156,40.078,0.004,"n"
20,"Ca",42,41.9586183,4e-07,0.647,0.023,40.078,0.004,"n"
20,"Ca",43,42.9587668,5e-07,0.135,0.01,40.078,0.004,"n"
20,"Ca",44,43.9554811,9e-07,2.086,0.11,40.078,0.004,"n"
20,"Ca",46,45.9536928,2.5e-06,0.004,0.003,40.078,0.004,"n"
20,"Ca",48,47.952534,4e-06,0.187,0.021,40.078,0.004,"n"
21,"Sc",45,44.9559102,1.2e-06,100,0,44.95591,8e-06,"n"
22,"Ti",46,45.9526295,1.2e-06,8.25,0.03,47.867,0.001,"n"
22,"Ti",47,46.9517638,1e-06,7.44,0.02,47.867,0.001,"n"
22,"Ti",48,47.9479471,1e-06,73.72,0.03,47.867,0.001,"n"
22,"Ti",49,48.9478708,1e-06,5.41,0.02,47.867,0.001,"n"
22,"Ti",50,49.9447921,1.1e-06,5.18,0.02,47.867,0.001,"n"
23,"V",50,49.9471628,1.4e-06,0.25,0.004,50.9415,0.0001,"n"
23,"V",51,50.9439637,1.4e-06,99.75,0.004,50.9415,0.0001,"n"
24,"Cr",50,49.9460496,1.4e-06,4.345,0.013,51.9961,0.0006,"n"
24,"Cr",52,51.9405119,1.5e-06,83.789,0.018,51.9961,0.0006,"n"
24,"Cr",53,52.9406538,1.5e-06,9.501,0.017,51.9961,0.0006,"n"
24,"Cr",54,53.9388849,1.5e-06,2.365,0.007,51.9961,0.0006,"n"
25,"Mn",55,54.9380496,1.4e-06,100,0,54.938049,9e-06,"n"
26,"Fe",54,53.9396148,1.4e-06,5.845,0.035,55.845,0.002,"n"
26,"Fe",56,55.9349421,1.5e-06,91.754,0.036,55.845,0.002,"n"
26,"Fe",57,56.9353987,1.5e-06,2.119,0.01,55.845,0.002,"n"
26,"Fe",58,57.9332805,1.5e-06,0.282,0.004,55.845,0.002,"n"
27,"Co",59,58.9332002,1.5e-06,100,0,58.9332,9e-06,"n"
28,"Ni",58,57.9353479,1.5e-06,68.0769,0.0089,58.6934,0.0002,"n"
28,"Ni",60,59.9307906,1.5e-06,26.2231,0.0077,58.6934,0.0002,"n"
28,"Ni",61,60.9310604,1.5e-06,1.1399,0.0006,58.6934,0.0002,"n"
28,"Ni",62,61.9283488,1.5e-06,3.6345,0.0017,58.6934,0.0002,"n"
