id,accnum,mfg,exptype,dimension,file,name
1,1,Bruker,HomoCS,Three,tochsqc.cgh,TOCSY-HSQC 3D experiment
2,2,Bruker,HomoCS,Three,nsyhsqc.cgh,NOESY-HSQC 3D experiment
3,3,Bruker,HetCS,Two,pep_z_hsqc.bv,Bruker DMX 15N-1H 2D HSQC with Sensitivity-enhanced
4,4,Bruker,HetCS,Two,pep_z_hsqcamx.bv,Bruker AMX 15N-1H 2D HSQC with Sensitivity-enhanced
5,5,Bruker,HetCS,Two,gradhmbc,HMBC with gradient selection of echo and antiecho in t1 for suppression of t1-noise
6,6,Bruker,HetCS,Two,jshsqce,hsqc employing gradients for coherence selection. Phase sensitive by sampling +/- coherence in alternate scans.
7,7,Bruker,HetCS,Two,real.sel2hmbc_gs.kaf.html,selective hmbc with gradients; used when the selective 180 is greater than approx 1.5 ms
8,,Bruker,HetCS,Two,sel1hmbc_gs.kaf,selective hmbc with gradients; used when the selective 180 is less than approx 1.5 ms
9,8,Bruker,HetCS,Two,hsqclr.abx,hsqc with selective 180(1H) pulses for high S/N
10,9,Bruker,HetCS,Three,hncacbse,3D HNCaCb - Gradient enhanced
11,10,Bruker,HetCS,Three,hncacbse_fb.bv,3D HNCaCb - Gradient enhanced with minimal H2O saturation
12,11,Bruker,HetCS,Three,hnca_sefb.al,3D HNCA with Gradient sensitivity enhancement with minimal H2O saturation
13,12,Bruker,HetCS,Three,hnco_sefb.al,3D HNCO with Gradient sensitivity enhancement with minimal H2O saturation
14,13,Bruker,HetCS,Three,hncoca_sefb.al,3D HN(CO)CA with gradient sensitivity enhancement and minimal H2O saturation
15,14,Bruker,HetCS,Three,hcan-ge.mo,"3D HCAN, gradient enhanced, deuterium decoupled"
16,,Bruker,HetCS,Three,hcacon-ge.r,"- gradient program for 3D HCAN, gradient enhanced, deuterium decoupled"
17,,Bruker,HetCS,Three,bits.mo,"- include file for 3D HCAN, gradient enhanced, deuterium decoupled"
18,15,Bruker,HetCS,Three,hcacon-ge.mo,"3D HCA(CO)N, gradient enhanced, deuterium decoupled"
19,,Bruker,HetCS,Three,hcacon-ge.r,"- gradient program for 3D HCA(CO)N, gradient enhanced, deuterium decoupled"
20,,Bruker,HetCS,Three,bits.mo,"- include file for 3D HCA(CO)N, gradient enhanced, deuterium decoupled"
